"GiroX"	"GiroY"	"GiroZ"
0.44	23.28	-9.46
-2.07	62.86	-10.94
-5.83	100.54	-12.24
-10.24	135.23	-13.6
-14.48	165.91	-14.86
-18.81	191.26	-15.69
-23.59	209.93	-16.14
-28.43	221.32	-16.4
-32.16	225.82	-16.36
-33.75	223.62	-15.63
-33.61	214.8	-14.19
-32.88	199.75	-12.31
-32.26	178.86	-10.04
-31.17	152.88	-7.22
-28.51	122.63	-3.89
-23.31	89.29	-0.23
-15.17	54.15	3.66
-4.78	18.16	7.75
-2.11	19.99	0.05
-2.24	62.26	-5.67
-2.04	104.36	-11.77
-2.87	144.71	-17.86
-4.82	182.1	-23.68
-8.11	215.37	-28.88
-13.3	243.33	-33.24
-20.47	265.37	-36.77
-28.64	281.09	-39.36
-36.46	289.85	-40.6
-43.37	290.82	-40.32
-48.44	283.58	-38.75
-50.92	268.43	-36.07
-50.51	246.09	-32.33
-47.86	217.19	-27.66
-43.72	182.96	-22.35
-37.75	145.03	-16.93
-29.54	104.97	-11.7
-19.69	63.97	-6.76
-8.8	23.2	-2.23
-15.08	11.96	-4.52
-17.46	44.41	-6.96
-20.64	77	-9.93
-24.13	109.01	-13.37
-27.45	139.74	-17.04
-30.57	168.65	-20.85
-33.7	195.38	-24.87
-36.57	219.58	-29.05
-38.31	240.63	-33.22
-38.99	257.57	-37.04
-39.26	269.21	-40.13
-39.42	274.47	-42.21
-39.06	272.75	-42.89
-37.92	263.99	-42.04
-35.86	248.46	-39.83
-32.52	226.96	-36.36
-27.88	200.44	-31.79
-22.58	169.84	-26.39
-17	136.04	-20.43
-11.25	99.79	-14.14
-5.21	61.8	-7.69
0.96	23.15	-1.28
-6.92	4.37	2.5
-6.26	34.09	-1.2
-5.27	64.07	-4.58
-4.76	93.42	-7.61
-5.24	121.12	-10.5
-6.57	146.24	-13.46
-8.47	168.43	-16.62
-10.54	187.87	-20.03
-11.91	204.69	-23.51
-12.66	218.46	-26.57
-13.88	228.64	-28.88
-16.14	234.78	-30.31
-19	236.47	-30.68
-22.13	233.38	-29.9
-25.55	225.32	-28.11
-29.2	212.41	-25.68
-32.54	195.27	-22.99
-34.66	174.81	-20.25
-34.77	152.06	-17.47
-32.73	127.66	-14.51
-29.26	101.56	-11.26
-25.16	73.73	-7.77
-20.89	44.54	-4.11
-16.26	14.85	-0.47
8.16	10.43	1.69
9.06	30.52	2.2
9.35	49.85	2.73
8.89	68.65	3.07
7.68	87.2	3.09
5.82	105.73	2.82
3.35	124.18	2.21
0.52	142.34	1.16
-2.3	159.94	-0.35
-5.21	176.38	-2.25
-8.51	190.85	-4.51
-12.1	202.87	-6.92
-15.05	212.4	-9.31
-17.19	219.46	-11.49
-19.33	223.67	-13.43
-21.97	224.72	-15.21
-25.05	222.46	-16.87
-27.92	217.02	-18.24
-30.1	208.76	-19.14
-31.43	198.14	-19.57
-31.73	185.58	-19.47
-31.19	171.26	-18.76
-30.07	155.26	-17.41
-28.22	137.8	-15.48
-25.55	119.32	-13.06
-22.24	100.07	-10.36
-19.03	80.04	-7.62
-15.86	59.36	-4.93
-12.11	38.41	-2.17
-7.39	17.36	0.72
6.59	11.81	4.53
6.12	31.83	3.28
5.15	52.23	1.44
3.81	72.9	-0.91
2.75	93.75	-3.56
2.22	114.65	-6.29
1.91	135.46	-9.01
1.22	155.75	-11.91
-0.36	174.74	-15.12
-3.3	191.48	-18.59
-7.52	205.25	-22.12
-12.09	215.82	-25.35
-16.11	223.41	-27.98
-19.17	228.27	-29.98
-21.12	230.54	-31.35
-21.77	230.1	-32.02
-21.44	226.57	-32.03
-20.82	219.57	-31.56
-20.83	208.87	-30.76
-21.55	194.65	-29.73
-22.16	177.4	-28.43
-21.88	157.97	-26.74
-20.23	137.39	-24.5
-17.06	116.45	-21.6
-12.55	95.69	-18.08
-7.32	75.29	-14.07
-2.22	55.07	-9.82
2.18	34.74	-5.41
5.64	14.17	-0.92
-2.34	5.34	-0.53
-3.61	21.92	-2.84
-4.28	39.73	-5.33
-4.25	58.62	-7.97
-3.71	78.13	-10.7
-2.93	97.88	-13.52
-1.92	117.55	-16.5
-0.98	136.85	-19.57
-0.78	155.36	-22.66
-2.1	172.59	-25.73
-4.94	188.13	-28.79
-8.52	201.57	-31.64
-12.35	212.6	-34.07
-15.8	221.08	-35.92
-18.12	226.87	-37.09
-19.91	229.52	-37.65
-22.04	228.58	-37.91
-24.54	224.03	-38.01
-26.99	216.32	-37.98
-28.89	206.04	-37.8
-30.31	193.78	-37.39
-31.6	179.89	-36.59
-32.51	164.67	-35.29
-32.28	148.45	-33.29
-30.43	131.57	-30.44
-27.27	114.3	-27.04
-23.18	96.76	-23.31
-18.65	78.88	-19.36
-14.44	60.68	-15.31
-10.37	42.49	-11.17
-6.17	24.65	-6.73
-2.04	7.19	-1.98
-12.46	18.73	-5.44
-9.53	40.79	-8.53
-5.22	64.27	-11.39
-0.86	88.18	-13.89
2.56	111.51	-16.06
4.45	133.45	-17.96
5.16	153.57	-19.74
5.41	171.65	-21.4
5.49	187.58	-22.81
5.1	201.37	-24
4.02	212.78	-25.03
2.34	221.42	-25.75
-0.06	226.94	-26.02
-3.52	228.94	-25.68
-8.58	227.07	-24.71
-15.08	221.58	-23.44
-21.54	213.39	-22.32
-26.33	203.55	-21.57
-28.55	192.95	-21.16
-28.07	182.19	-21.08
-25.94	171.13	-21.18
-23.72	159.36	-21.29
-21.94	146.51	-21.21
-20.14	132.4	-20.63
-17.71	117.28	-19.33
-14.27	101.73	-17.29
-9.82	86.02	-14.65
-4.77	70.22	-11.68
0.79	54.43	-8.53
6.66	38.57	-5.24
12.13	22.33	-1.72
16.49	5.4	2.05
-13.1	11.95	-1.24
-13.47	33.29	-3.02
-13.62	55.3	-5.06
-13.68	77.51	-7.21
-13.99	99.52	-9.37
-14.7	121.07	-11.65
-15.8	142.03	-14.21
-16.52	162.32	-16.97
-16.07	181.83	-19.7
-14.6	200.2	-22.26
-13.07	216.57	-24.68
-12.63	230.01	-26.94
-13.84	239.91	-28.96
-16.13	246	-30.36
-18.86	248.21	-30.85
-21.8	246.75	-30.59
-24.7	242.28	-30.01
-26.98	235.45	-29.41
-28.42	226.57	-28.89
-29.32	215.61	-28.33
-29.66	202.43	-27.5
-29.44	187.09	-26.27
-29.09	169.67	-24.67
-28.55	150.48	-22.79
-27.2	130.25	-20.46
-24.41	109.7	-17.52
-20.15	89.17	-14.08
-15.19	68.74	-10.37
-10.17	48.27	-6.49
-5.36	27.55	-2.24
-0.97	6.49	2.5
9.09	22.17	-2.13
9.67	45.25	-2.44
8.85	68.07	-2.58
6.69	90.34	-2.72
3.71	111.72	-3.26
0	132	-4.53
-4.29	151.2	-6.6
-8.63	169.42	-9.1
-12.56	186.61	-11.56
-15.27	202.6	-13.53
-16.61	216.87	-14.7
-17.44	228.58	-15.16
-18.57	237.07	-15.07
-20.1	242.14	-14.73
-21.64	243.93	-14.41
-22.89	242.76	-14.33
-23.63	238.95	-14.59
-23.64	232.91	-15.07
-22.82	225.09	-15.42
-21.17	215.71	-15.36
-19.21	204.67	-14.72
-17.61	191.89	-13.55
-16.59	177.29	-12.05
-16.54	160.86	-10.37
-17.65	142.92	-8.7
-19.35	124.1	-7.08
-20.57	105.06	-5.41
-20.82	86.06	-3.55
-20.4	67.11	-1.36
-19.24	48.2	1.29
-16.92	29.34	4.34
-13.62	10.42	7.55
-4.73	0.04	2.67
-8.01	24.34	3.05
-10.54	50.27	2.98
-10.86	77.48	2.46
