"GiroX"	"GiroY"	"GiroZ"
22.6	-210.57	11.04
18.28	-187.62	7.57
14	-160.1	4.05
9.84	-128.5	0.56
6.11	-93.57	-2.57
3.48	-56.03	-5.28
1.96	-16.75	-7.58
6.62	-17.92	11.51
18.36	-52.92	14.49
29.67	-85.55	16.66
39.73	-114.93	18.29
47.52	-141.03	19.67
52.04	-163.8	20.96
53.32	-182.97	22.36
52.15	-198.45	23.95
49.46	-210.05	25.58
45.51	-217.61	26.81
40.68	-221.07	27.33
35.38	-220.38	27.09
30.11	-215.44	26.07
25.29	-206.05	24.24
20.7	-192.1	21.85
16.09	-173.81	19.33
12.05	-151.16	16.88
8.72	-124.24	14.47
5.52	-93.25	11.9
2.32	-58.6	8.84
-0.49	-20.7	4.94
2.85	-16.13	2
14.81	-53.42	6.18
26.08	-88.13	10.16
35.74	-119.79	13.58
43.91	-147.46	16.18
50.43	-170.52	18.04
55.07	-189.11	19.14
57.05	-203.64	19.47
56.03	-214.44	19.16
52.36	-221.82	18.38
46.54	-226.01	17.43
39.38	-227.08	16.47
31.89	-224.86	15.53
24.75	-219.27	14.64
18.18	-210.42	13.72
12.54	-198.4	12.66
8.19	-183.44	11.38
4.7	-165.93	9.73
1.31	-146.5	7.77
-2.18	-125.38	5.57
-5.55	-102.26	3.37
-8.37	-76.95	1.37
-10.82	-49.31	-0.55
-13.06	-19.53	-2.47
6.83	-14.79	4.88
12.71	-50.73	10.55
18.86	-83.66	15.46
24.92	-112.93	19.43
30.24	-138.37	22.34
34.09	-160.01	24.25
36.04	-177.84	25.48
36.33	-192.04	26.25
35.4	-202.83	26.63
33.57	-210.37	26.6
31.31	-214.76	25.99
28.87	-215.95	24.77
26.26	-214	23.19
23.34	-209.17	21.49
19.87	-201.7	19.89
15.63	-191.58	18.55
10.78	-178.72	17.54
5.91	-163.23	16.86
1.35	-145.3	16.42
-2.41	-125.05	15.72
-4.8	-102.57	14.4
-6.01	-78.06	12.36
-6.59	-51.9	9.63
-6.93	-24.4	6.27
-10.42	-14.51	3.01
-2.99	-42.92	6.23
5.14	-70.01	8.97
12.88	-95.45	11.08
19.44	-119.06	12.61
24.61	-140.65	13.73
28.49	-160.16	14.52
31.21	-177.51	15.06
32.63	-192.51	15.34
32.72	-204.79	15.31
31.82	-213.81	14.94
30.27	-219.33	14.35
27.92	-221.35	13.45
24.68	-219.92	12.23
20.66	-215.15	10.8
16.19	-207.23	9.33
11.92	-196.36	7.97
8.61	-183.02	6.81
6.57	-167.77	5.72
5.49	-151.05	4.62
5.06	-133.08	3.57
5	-114.08	2.66
5.14	-94.22	1.98
5.34	-73.7	1.55
5.68	-52.72	1.3
6.27	-31.49	1.19
7.12	-10.33	1.31
-1.94	-3.67	3.67
3.65	-24.6	6.56
9.04	-45.43	9.22
13.88	-66.17	11.55
17.9	-86.69	13.44
21.08	-106.52	14.87
23.61	-125.22	15.92
25.38	-142.47	16.69
26.32	-158.1	17.18
26.35	-171.93	17.39
25.27	-183.85	17.36
22.95	-193.71	17.05
19.89	-201.31	16.4
16.63	-206.33	15.53
13.54	-208.8	14.43
10.61	-208.9	13.06
7.74	-206.66	11.5
5.01	-202.1	9.95
2.44	-195.3	8.7
-0.08	-186.61	7.93
-2.56	-176.33	7.64
-4.67	-164.7	7.67
-6.13	-151.95	7.87
-6.68	-138.39	8.08
-6.23	-124.3	8.12
-4.73	-109.92	7.99
-2.53	-95.2	7.74
-0.02	-79.81	7.31
2.55	-63.34	6.8
4.71	-45.67	6.29
6.09	-27.03	5.81
6.65	-7.81	5.29
8.17	-6.64	3.46
10.09	-27.38	7.7
12	-47.59	11.79
14.3	-66.78	15.67
16.86	-84.78	19.29
19.08	-101.63	22.65
20.6	-117.43	25.63
21.49	-132.12	28.17
22.04	-145.51	30.24
22.21	-157.43	31.76
21.66	-167.9	32.63
20.43	-176.76	32.88
18.79	-183.79	32.47
16.9	-188.89	31.5
14.72	-192.03	30.15
12.43	-193.17	28.59
10.3	-192.21	26.94
8.63	-189.15	25.28
7.38	-184.05	23.66
6.29	-177.15	22.07
5.11	-168.86	20.63
3.6	-159.68	19.33
1.74	-149.96	18.14
-0.34	-139.8	16.97
-2.23	-129	15.74
-3.54	-117.46	14.38
-4.05	-105.24	13.06
-3.76	-92.58	11.74
-2.78	-79.6	10.33
-1.26	-66.26	8.79
0.19	-52.67	7.12
0.83	-38.88	5.36
0.43	-24.78	3.52
-0.78	-10.13	1.57
1.5	-9.98	2.96
3.98	-26.91	8.02
5.52	-43.64	13.13
6.89	-59.97	18.19
8.54	-75.73	23.02
10.4	-90.93	27.32
12.11	-105.43	30.79
13.6	-118.84	33.52
15.28	-130.92	35.62
16.97	-141.61	37.08
18.34	-151.02	37.88
19.14	-159.31	38.03
19.55	-166.56	37.6
19.72	-172.71	36.72
19.88	-177.7	35.56
20.06	-181.64	34.3
19.89	-184.57	33.01
19.3	-186.36	31.67
18.51	-186.81	30.28
17.67	-185.74	28.85
16.86	-183.23	27.36
16.05	-179.39	25.75
