"GiroX"	"GiroY"	"GiroZ"
-358.07	-55.83	13.45
-309.67	-47.07	10.33
-258.62	-37.54	7.25
-205.1	-27.12	3.88
-148.29	-16.07	-0.02
-87.52	-4.85	-4.47
-22.3	6.2	-9.55
-37.01	-33.13	17.87
-100.81	-38.87	22.07
-166.87	-44.47	26.7
-232.82	-50.3	31.77
-296.42	-56.51	37.07
-355.17	-62.86	42.07
-405.48	-68.81	46.26
-444.27	-73.8	49.22
-470.56	-77.28	50.83
-485.01	-78.79	51.2
-489.62	-78.09	50.46
-486.12	-75.24	48.63
-474.45	-70.27	45.6
-455.17	-63.45	41.77
-429.5	-55.58	37.41
-398	-47.32	32.51
-361.85	-38.83	27.24
-322.71	-30.13	21.8
-281.61	-21.37	16.34
-238.69	-12.79	10.99
-194.61	-4.55	5.88
-149.97	3.42	0.95
-104.23	11.21	-4.18
-57.22	18.83	-9.74
-9.6	26.22	-15.68
-27.8	-12.42	18.81
-78.64	-20.88	25.13
-129.88	-28.91	30.62
-179.18	-36.8	35.26
-225.32	-44.84	38.99
-268.13	-52.89	41.8
-307.48	-60.44	44.09
-341.76	-67.08	46.17
-369.41	-72.4	48.09
-390.32	-76.05	49.75
-404.41	-77.77	50.68
-410.67	-77.64	50.31
-410.08	-76.01	48.59
-404.39	-73.46	45.76
-393.67	-70.61	42.02
-378.72	-67.73	38.19
-362.1	-64.73	35.12
-344.83	-61.34	32.74
-325.91	-57.19	30.65
-303.98	-52.2	28.46
-278.39	-46.47	25.83
-249.99	-40.12	22.71
-219.79	-33.48	19.2
-187.69	-26.99	15.26
-154.04	-21.04	11.01
-118.26	-15.52	6.44
-78.3	-10.18	1.18
-33.46	-4.67	-4.89
-16.75	-11.12	12.34
-70.05	-17.36	17.35
-123.42	-24.11	21.69
-175.14	-31.07	25.58
-224.06	-37.89	29.25
-269.57	-44.34	32.8
-310.87	-50.15	36.23
-347.3	-55.1	39.46
-378.55	-59.01	42.39
-404.38	-61.79	44.83
-424.56	-63.62	46.71
-439.08	-64.86	47.94
-447.1	-65.83	48.34
-447.95	-66.57	47.94
-442.97	-66.88	47.1
-433.72	-66.5	45.97
-419.7	-65.21	44.5
-400.09	-63	42.58
-374.75	-60.02	40.1
