GiroX	GiroY	GiroZ
-358.07	-55.83	13.45
-309.67	-47.07	10.33
-258.62	-37.54	7.25
-205.10	-27.12	3.88
-148.29	-16.07	-0.02
-87.52	-4.85	-4.47
-22.30	6.20	-9.55
47.24	16.93	-15.32
118.31	27.52	-21.67
187.05	38.47	-28.52
250.95	49.86	-35.72
307.88	61.12	-42.97
356.10	71.30	-49.70
395.58	79.77	-55.43
427.11	86.27	-59.82
452.33	90.61	-62.79
472.28	92.70	-64.58
486.79	92.67	-65.31
495.10	90.61	-64.95
496.19	86.65	-63.28
488.90	80.97	-60.23
473.01	73.83	-56.02
450.35	65.43	-50.91
422.96	56.00	-44.91
391.82	45.79	-38.09
357.20	35.28	-30.66
318.76	25.07	-22.82
276.04	15.39	-14.90
229.81	6.05	-7.49
181.14	-3.02	-1.02
130.82	-11.62	4.50
78.40	-19.55	9.36
22.77	-26.74	13.76
-37.01	-33.13	17.87
-100.81	-38.87	22.07
-166.87	-44.47	26.70
-232.82	-50.30	31.77
-296.42	-56.51	37.07
-355.17	-62.86	42.07
-405.48	-68.81	46.26
-444.27	-73.80	49.22
-470.56	-77.28	50.83
-485.01	-78.79	51.20
-489.62	-78.09	50.46
-486.12	-75.24	48.63
-474.45	-70.27	45.60
-455.17	-63.45	41.77
-429.50	-55.58	37.41
-398.00	-47.32	32.51
-361.85	-38.83	27.24
-322.71	-30.13	21.80
-281.61	-21.37	16.34
-238.69	-12.79	10.99
-194.61	-4.55	5.88
-149.97	3.42	0.95
-104.23	11.21	-4.18
-57.22	18.83	-9.74
-9.60	26.22	-15.68
37.59	33.26	-21.78
82.22	39.60	-27.66
122.78	45.13	-33.16
159.84	50.16	-38.19
194.33	54.85	-42.62
226.53	59.18	-46.48
256.69	63.10	-49.93
284.96	66.65	-53.17
311.14	69.77	-56.36
334.98	72.31	-59.67
355.30	74.23	-62.88
370.09	75.69	-65.28
377.68	76.83	-66.13
377.50	77.32	-65.04
369.96	76.59	-62.00
357.38	74.35	-57.45
342.48	70.57	-51.86
326.42	65.53	-45.70
309.28	59.78	-39.27
291.05	53.80	-32.84
271.01	47.70	-26.74
248.00	41.44	-21.28
220.81	35.10	-16.33
188.77	28.63	-11.52
152.79	21.77	-6.46
