GiroX	GiroY	GiroZ
-92.36	-2.47	1.51
-97.17	-2.65	1.27
-102.14	-2.82	1.29
-105.77	-2.78	1.36
-108.71	-2.73	1.42
-111.22	-2.67	1.49
-113.73	-2.59	1.57
-115.56	-2.50	1.63
-116.18	-2.40	1.65
-115.10	-2.27	1.64
-112.16	-2.10	1.59
-107.82	-1.96	1.52
-102.08	-1.81	1.43
-94.69	-1.62	1.31
-85.33	-1.40	1.14
-73.13	-1.19	0.93
-57.22	-0.96	0.54
-37.29	-0.64	0.05
-13.89	-0.09	-0.13
12.18	0.70	0.22
39.64	1.64	1.14
67.33	2.63	2.48
94.81	3.58	4.05
121.30	4.46	5.66
146.36	5.29	7.05
168.54	5.99	8.06
177.49	5.90	8.67
179.58	5.73	8.83
179.03	5.72	8.89
176.01	5.77	9.00
170.91	5.84	9.27
163.37	5.83	9.61
154.61	5.67	9.62
144.79	5.32	9.07
134.64	4.89	7.93
125.42	4.65	6.36
116.84	4.57	4.61
108.87	4.44	2.87
101.53	4.27	1.51
96.43	4.09	0.68
103.44	4.55	0.35
115.84	4.97	0.53
128.98	5.10	0.80
141.57	5.17	1.12
152.30	5.18	1.48
161.42	5.18	1.80
168.07	5.17	1.98
172.90	5.21	1.94
176.81	5.33	1.61
179.47	5.47	0.89
180.14	5.65	0.02
178.20	5.83	-0.70
173.56	5.89	-1.36
165.95	5.99	-2.11
155.24	6.21	-2.96
141.54	6.44	-3.83
125.27	6.59	-4.50
107.47	6.54	-5.08
88.66	6.39	-5.63
68.94	6.19	-6.14
48.55	5.90	-6.49
27.27	5.53	-6.66
4.50	4.96	-6.54
-20.50	4.08	-5.96
-46.91	2.91	-4.97
-72.89	1.54	-3.62
-97.40	0.18	-2.02
-119.93	-1.07	-0.36
-140.23	-2.32	1.20
-158.36	-3.60	2.58
-173.98	-4.93	3.57
-188.38	-6.25	4.16
-202.46	-7.51	4.47
-215.17	-8.32	4.94
-226.08	-9.00	5.66
-226.23	-9.35	6.44
-217.32	-9.19	6.82
-206.69	-9.07	7.11
-194.87	-9.04	7.11
-182.29	-8.70	6.58
-169.88	-8.22	5.63
-158.02	-7.76	4.58
-146.72	-7.33	3.68
-135.96	-6.79	2.93
-126.00	-6.01	2.40
-115.47	-5.02	2.16
-103.45	-3.92	2.12
-90.61	-3.22	1.88
-77.47	-2.61	1.38
-73.13	-2.32	0.87
-76.21	-2.50	0.79
-79.08	-2.60	0.77
-81.28	-2.47	0.78
-83.29	-2.33	0.80
-85.30	-2.18	0.82
-87.12	-2.04	0.84
-88.26	-1.88	0.83
-88.15	-1.68	0.82
-87.02	-1.49	0.80
-85.12	-1.35	0.76
-82.68	-1.24	0.75
-80.02	-1.13	0.76
-76.85	-1.01	0.78
-72.44	-0.90	0.78
-66.08	-0.80	0.71
-57.23	-0.68	0.64
-45.42	-0.57	0.40
-30.49	-0.44	0.06
-12.17	-0.10	0.05
9.26	0.49	0.56
33.18	1.22	1.43
58.92	2.02	2.41
86.02	2.88	3.29
113.84	3.85	3.92
136.97	4.54	4.01
144.28	4.40	3.80
147.91	4.42	3.74
150.59	4.53	3.72
153.32	4.70	3.73
156.25	4.92	3.69
157.96	5.21	3.81
156.88	5.48	4.02
152.92	5.60	3.89
147.23	5.60	3.22
140.35	5.64	2.22
131.88	5.56	1.10
121.99	5.34	0.07
111.52	4.98	-0.70
106.12	4.89	-0.90
116.95	5.54	-0.73
131.59	5.87	-0.63
146.52	6.05	-0.49
159.90	6.13	-0.28
170.86	6.14	-0.04
179.94	6.32	0.06
187.77	6.65	-0.03
193.70	6.88	-0.14
196.18	6.82	-0.18
195.01	6.48	-0.19
191.09	6.09	-0.18
184.56	5.68	-0.14
175.01	5.20	-0.09
162.15	4.68	-0.09
145.80	4.26	-0.21
126.06	4.04	-0.51
103.54	3.80	-0.88
78.77	3.55	-1.32
51.65	3.25	-1.80
22.55	2.67	-2.18
-7.85	1.86	-2.40
-39.08	1.10	-2.58
-70.58	0.49	-2.84
-101.77	-0.09	-3.12
-132.19	-0.79	-3.43
-160.98	-1.86	-3.70
-187.54	-3.06	-3.84
-211.12	-4.65	-3.87
-231.26	-5.86	-3.59
-246.79	-6.76	-3.14
-253.81	-7.35	-2.75
-248.81	-7.34	-2.43
-241.01	-7.22	-2.06
-231.48	-7.23	-1.66
-220.36	-7.32	-1.23
-207.16	-7.38	-0.84
-191.95	-7.39	-0.43
-175.41	-7.37	0.04
-158.17	-7.12	0.52
-141.25	-6.42	0.93
-125.16	-5.50	1.24
-110.32	-4.12	1.41
-97.01	-3.14	1.31
-86.31	-2.52	1.11
-82.31	-2.14	0.96
-88.85	-2.32	0.85
-96.33	-2.59	0.72
-103.37	-2.69	0.53
-109.69	-2.69	0.32
-115.36	-2.70	0.15
-120.13	-2.65	0.11
-123.74	-2.51	0.24
-126.06	-2.35	0.40
-126.65	-2.17	0.52
-125.67	-1.98	0.59
-123.37	-1.80	0.63
-119.73	-1.63	0.65
-114.66	-1.48	0.66
-108.14	-1.34	0.67
-99.58	-1.19	0.70
-88.32	-0.98	0.81
-73.77	-0.67	1.07
-55.69	-0.22	1.44
-34.55	0.33	1.92
-10.93	0.93	2.40
14.49	1.47	2.70
41.03	1.99	2.92
67.98	2.55	3.13
95.47	3.15	3.32
123.40	3.82	3.52
151.52	4.61	3.79
178.22	5.43	4.01
189.62	5.42	3.99
191.91	5.30	3.95
191.28	5.33	3.88
187.64	5.29	3.73
181.80	5.16	3.51
174.50	4.92	3.12
166.29	4.61	2.58
158.03	4.42	1.99
149.67	4.38	1.44
141.22	4.43	0.95
132.53	4.70	0.55
123.21	5.05	0.16
113.43	5.09	-0.28
105.28	4.97	-0.70
112.53	5.68	-0.84
128.46	6.35	-0.87
146.41	6.68	-0.74
165.71	6.87	-0.50
184.46	7.02	-0.16
200.86	7.28	0.20
213.69	7.62	0.48
222.05	7.81	0.65
226.02	7.75	0.71
226.24	7.44	0.74
223.31	6.75	0.77
218.15	5.80	0.83
211.86	4.99	1.00
204.30	4.24	1.29
194.40	3.52	1.53
181.76	2.96	1.64
166.46	2.58	1.55
148.73	2.34	1.25
129.23	2.23	0.83
109.00	2.01	0.36
88.73	1.68	-0.03
68.58	1.36	-0.30
48.80	1.12	-0.46
28.87	1.02	-0.62
8.47	0.98	-0.79
-12.08	0.87	-0.95
-33.46	0.72	-1.16
-55.82	0.45	-1.30
-77.95	-0.04	-1.24
-99.78	-0.60	-1.14
-122.16	-1.11	-1.10
-146.04	-1.50	-1.09
-171.86	-1.93	-1.18
-199.69	-2.64	-1.29
-228.13	-3.94	-1.28
-255.20	-6.31	-1.26
-281.48	-8.49	-0.94
-294.73	-9.72	-0.55
-285.37	-9.86	-0.27
-274.04	-9.70	0.01
-263.04	-9.59	0.23
-253.34	-9.49	0.35
-244.58	-9.17	0.35
-235.82	-8.82	0.38
-225.79	-8.53	0.49
-213.48	-8.39	0.65
-197.75	-8.27	0.92
-178.07	-7.87	1.22
-155.75	-6.89	1.41
-132.24	-4.85	1.57
-106.90	-2.99	1.41
-91.93	-2.11	1.13
-97.46	-2.31	0.89
-103.93	-2.70	0.55
-109.57	-2.92	0.20
-113.96	-3.02	-0.27
-117.66	-3.19	-0.88
-121.00	-3.39	-1.56
-124.14	-3.60	-2.27
-126.50	-3.80	-2.88
-128.22	-3.98	-3.33
-128.85	-4.10	-3.62
-127.71	-4.11	-3.77
-124.90	-4.04	-3.83
-120.37	-3.92	-3.82
-113.85	-3.75	-3.73
-104.95	-3.53	-3.56
-93.64	-3.23	-3.35
-79.83	-2.88	-3.09
-63.02	-2.37	-2.65
-42.68	-1.66	-2.00
-18.83	-0.80	-1.19
8.69	0.16	-0.30
39.81	1.19	0.52
74.19	2.29	1.34
110.96	3.50	2.36
149.45	4.80	3.61
187.17	6.06	4.87
203.50	6.19	5.27
206.87	6.07	5.28
206.92	6.08	5.28
204.86	6.15	5.28
201.84	6.25	5.28
198.12	6.30	5.21
192.64	6.23	5.01
185.14	6.06	4.66
175.35	5.87	4.25
163.11	5.79	3.85
148.93	5.86	3.35
133.61	5.98	2.47
116.73	6.01	1.23
99.27	5.73	-0.10
101.58	6.27	-0.56
114.82	6.88	-0.51
129.40	7.16	-0.32
144.31	7.25	-0.02
158.35	7.20	0.33
171.22	7.03	0.77
183.67	6.78	1.31
195.26	6.44	1.99
204.82	5.96	2.79
211.25	5.29	3.62
213.69	4.47	4.21
211.57	3.51	4.54
205.55	2.52	4.83
196.59	1.73	5.21
184.46	0.97	5.72
168.98	-0.11	6.46
149.55	-1.65	7.50
126.34	-3.41	8.64
99.63	-5.07	9.53
69.42	-6.40	10.05
37.14	-7.38	10.26
3.73	-7.86	9.80
-31.36	-7.94	8.90
-66.94	-7.83	7.71
-100.09	-7.61	6.15
-129.53	-7.41	4.39
-155.61	-7.28	2.46
-178.76	-7.22	0.31
-199.73	-7.24	-2.05
-219.57	-7.45	-4.55
-238.14	-7.76	-7.42
-255.13	-7.76	-10.37
-263.07	-7.08	-12.80
-251.61	-5.86	-14.00
-237.23	-4.86	-14.70
-221.29	-4.27	-14.80
-202.45	-4.05	-14.40
-181.33	-4.00	-13.77
-160.63	-4.20	-12.63
-141.82	-4.51	-11.07
-124.75	-4.83	-9.30
-108.98	-5.05	-7.38
-93.23	-4.96	-5.40
-76.58	-4.21	-3.61
-58.59	-2.72	-2.01
-39.44	-1.21	-0.58
-26.95	-0.36	0.59
-32.20	-0.31	0.79
-40.54	-0.32	0.70
-50.76	-0.31	0.56
-62.43	-0.29	0.19
-74.59	-0.27	-0.36
-86.02	-0.32	-1.36
-96.17	-0.52	-2.86
-105.20	-0.80	-4.41
-112.77	-1.02	-5.67
-119.00	-1.15	-6.60
-123.81	-1.22	-7.29
-127.93	-1.28	-7.92
-132.87	-1.46	-8.88
-138.97	-1.85	-10.37
-144.39	-2.31	-11.83
-144.93	-2.45	-12.38
-138.30	-2.20	-12.25
-125.92	-1.86	-11.81
-108.79	-1.50	-11.08
-88.07	-1.13	-9.67
-64.00	-0.48	-7.21
-36.69	0.47	-4.05
-7.48	1.43	-0.99
21.74	2.23	1.71
51.92	2.83	4.29
83.90	3.20	7.11
118.71	3.45	10.58
155.60	3.04	14.65
177.49	2.88	17.28
189.39	3.07	17.65
196.86	2.89	17.20
202.85	2.80	16.51
208.02	3.02	15.89
211.64	3.62	15.25
212.31	4.31	14.14
211.37	5.06	12.47
209.95	5.65	10.60
209.63	5.95	8.67
209.94	6.10	6.65
210.28	6.31	4.53
209.54	6.69	2.33
207.43	7.82	0.38
218.72	8.58	0.35
234.21	8.51	1.96
245.59	8.41	3.47
250.65	8.32	4.46
249.32	8.15	4.84
243.33	7.70	4.90
234.52	6.96	4.91
221.83	5.94	4.74
204.11	5.17	4.27
180.56	4.77	3.55
150.73	4.61	2.54
115.74	4.57	1.25
78.26	4.53	-0.19
42.25	4.32	-1.60
10.89	3.91	-2.91
-16.21	3.63	-4.34
-40.42	3.40	-5.59
-62.18	3.02	-6.42
-82.42	2.39	-6.93
-103.96	1.85	-7.75
-129.23	1.65	-9.55
-158.91	1.65	-12.27
-192.17	1.32	-15.43
-227.03	-0.47	-18.88
-259.80	-3.50	-21.81
-267.99	-5.04	-22.66
-256.50	-5.37	-21.73
-246.32	-5.66	-20.78
-237.23	-5.45	-20.03
-231.93	-5.25	-19.70
-228.95	-5.19	-19.59
-225.82	-5.21	-19.66
-222.88	-5.18	-19.76
-219.05	-5.30	-19.51
-212.32	-5.66	-18.46
-201.47	-6.11	-16.68
-184.23	-6.31	-14.45
-159.96	-5.29	-12.55
-132.15	-3.27	-11.40
-123.96	-2.79	-11.94
-132.17	-3.38	-13.69
-138.44	-3.50	-15.05
-145.20	-3.57	-16.22
-149.63	-3.53	-16.97
-152.29	-3.47	-17.67
-154.81	-3.40	-18.06
-154.69	-3.24	-17.94
-149.59	-2.96	-17.45
-139.46	-2.71	-16.67
-123.07	-2.40	-15.35
-100.25	-1.98	-13.07
-70.37	-0.97	-8.94
-33.78	0.62	-3.14
6.92	2.40	3.67
48.54	3.97	10.68
88.25	4.68	15.97
124.11	4.66	19.08
155.85	5.01	20.67
170.29	5.46	21.54
182.68	5.60	22.19
194.66	5.73	22.51
205.81	5.90	22.58
215.78	6.22	22.58
222.71	6.57	22.34
224.14	6.87	21.43
217.62	6.89	19.59
203.43	6.66	16.55
184.32	6.37	12.33
163.58	6.15	7.37
143.72	6.27	3.39
126.68	6.76	1.09
113.56	6.73	0.28
118.66	6.50	0.69
127.25	6.47	1.83
136.74	6.24	3.36
145.25	5.81	5.04
151.27	5.28	6.63
154.20	4.68	7.87
154.08	4.07	8.68
151.02	3.46	9.03
145.21	2.92	9.00
136.96	2.35	8.72
126.51	1.92	8.14
113.88	1.68	7.33
98.63	1.52	6.34
80.10	1.41	4.98
57.98	1.31	3.24
32.01	1.23	1.10
2.61	1.17	-1.15
-28.73	1.05	-3.33
-60.93	0.73	-5.31
-93.31	0.08	-6.97
-124.53	-1.19	-8.40
-153.31	-2.96	-9.46
-178.75	-4.82	-10.04
-198.63	-6.04	-10.11
-202.80	-6.49	-9.56
-202.25	-6.76	-8.76
-199.77	-7.11	-7.89
-196.01	-7.57	-6.74
-190.47	-7.81	-5.49
-183.94	-7.95	-4.37
-176.69	-7.96	-3.54
-169.03	-7.80	-3.00
-160.95	-7.51	-2.71
-152.28	-7.03	-2.57
-143.15	-6.03	-2.43
-134.08	-4.63	-2.40
-125.38	-3.24	-2.55
-119.32	-2.41	-2.97
-126.76	-2.40	-3.80
-136.93	-2.54	-4.76
-145.91	-2.49	-5.60
-151.74	-2.29	-6.38
-154.68	-2.15	-7.15
-154.13	-1.99	-7.76
-150.69	-1.77	-8.10
-144.71	-1.55	-8.14
-135.87	-1.22	-7.87
-124.18	-0.84	-7.34
-110.41	-0.43	-6.58
-95.26	-0.06	-5.63
-79.42	0.27	-4.60
-63.09	0.51	-3.56
-45.38	0.68	-2.52
-25.27	0.90	-1.36
-3.17	1.10	-0.19
20.09	1.25	1.01
44.27	1.39	2.30
68.61	1.43	3.44
91.92	1.35	4.42
114.14	1.20	5.30
135.70	0.94	5.84
157.66	0.89	5.90
179.57	1.37	6.02
186.77	1.70	5.97
186.44	1.58	5.72
184.98	1.53	5.47
184.51	1.71	5.23
186.38	2.27	4.88
189.36	3.18	4.49
191.96	4.31	4.22
193.91	5.63	3.75
195.81	6.79	3.00
198.95	7.66	2.04
203.13	8.31	0.93
207.07	8.94	0.05
208.22	9.36	-0.40
205.35	9.23	-0.86
212.83	9.25	-0.95
224.43	9.68	-0.61
234.09	10.05	-0.31
239.58	10.22	-0.01
238.89	9.90	0.26
232.83	9.27	0.35
223.36	8.33	0.31
210.85	7.02	0.45
195.39	5.83	0.88
176.54	5.01	1.30
154.76	4.45	1.60
131.26	3.84	1.84
107.16	3.18	2.02
83.81	2.47	2.13
61.74	1.69	2.05
40.00	0.87	1.73
17.87	-0.00	1.41
-4.90	-0.90	1.05
-28.52	-1.74	0.62
-53.35	-2.66	0.23
-79.85	-3.34	-0.28
-107.68	-3.72	-1.07
-136.78	-3.93	-2.17
-167.13	-4.10	-3.49
-199.69	-4.69	-5.04
-235.25	-6.79	-6.60
-270.86	-9.36	-7.86
-280.09	-9.82	-8.74
-276.25	-9.50	-8.77
-272.03	-9.29	-8.68
-267.85	-9.10	-8.49
-265.73	-8.94	-8.05
-263.79	-8.78	-7.55
-259.06	-8.46	-7.11
-251.16	-8.22	-6.72
-240.98	-8.07	-6.37
-229.66	-8.09	-6.04
-216.77	-8.26	-5.61
-200.57	-8.02	-4.87
-179.75	-6.15	-4.22
-156.62	-3.88	-4.31
-157.55	-3.73	-5.00
-169.36	-4.34	-6.67
-179.00	-4.89	-8.71
-186.15	-5.54	-11.03
-188.31	-6.07	-13.31
-185.56	-6.40	-15.16
-180.39	-6.85	-16.76
-173.73	-7.12	-17.78
-164.94	-7.10	-18.06
-152.34	-6.83	-17.72
-136.02	-6.33	-16.86
-116.91	-5.80	-15.82
-96.28	-5.35	-14.64
-74.69	-4.79	-12.96
-51.97	-4.20	-11.07
-27.81	-3.53	-8.97
-1.49	-2.50	-6.27
27.70	-1.20	-3.00
58.93	0.09	0.31
89.81	1.11	3.34
119.35	1.99	5.91
147.29	2.57	7.71
173.83	2.87	8.88
199.57	3.11	9.64
225.08	3.60	9.81
232.88	3.99	9.52
231.81	3.92	9.00
230.80	4.04	8.44
231.99	4.56	8.00
235.85	5.55	7.48
239.60	6.62	6.62
241.29	7.66	5.37
241.00	8.29	3.86
241.02	8.59	2.33
243.11	9.02	1.09
