GiroX	GiroY	GiroZ
-723.21	-96.08	-0.21
-726.65	-98.59	1.24
-718.01	-98.70	3.72
-694.70	-95.85	6.64
-654.68	-89.76	9.25
-598.97	-80.40	11.12
-530.97	-68.26	12.04
-454.33	-54.28	11.74
-371.66	-39.37	10.20
-284.85	-24.21	7.86
-194.97	-9.29	5.03
-102.30	5.01	1.83
-8.09	18.54	-1.79
85.09	31.19	-6.15
174.92	42.51	-11.53
259.43	51.96	-17.82
336.06	59.23	-24.60
402.40	64.21	-31.42
457.37	66.87	-37.74
502.08	67.25	-43.25
538.67	65.80	-47.87
568.92	63.12	-51.33
593.75	59.55	-53.55
612.82	55.19	-54.59
624.35	49.89	-54.43
625.83	43.50	-53.09
616.02	36.02	-50.63
594.68	27.72	-46.80
561.32	19.19	-41.33
516.37	10.90	-34.35
461.17	2.87	-26.41
397.41	-4.94	-18.33
327.34	-12.48	-10.99
251.97	-19.74	-4.94
171.56	-26.75	-0.40
86.50	-33.56	2.66
-2.85	-40.32	4.41
-95.58	-47.08	4.98
-190.59	-53.66	4.65
-286.41	-59.68	3.84
-380.62	-64.85	3.00
-470.34	-69.00	2.16
-551.96	-72.18	1.14
-621.67	-74.46	0.08
-676.46	-75.83	-0.61
-715.46	-76.30	-0.61
-739.70	-75.85	0.37
-748.95	-74.28	2.56
-741.75	-71.50	5.89
-717.02	-67.42	9.82
-674.92	-61.92	13.77
-617.45	-55.14	17.17
-546.97	-47.23	19.50
-465.57	-38.18	20.51
-375.13	-28.21	20.04
-277.08	-17.62	18.33
-173.14	-6.61	15.91
-65.73	4.82	13.17
42.68	16.79	10.03
150.51	29.26	6.31
256.15	42.01	1.82
356.04	54.60	-3.76
445.61	66.40	-10.51
521.15	76.61	-18.03
581.31	84.45	-25.53
627.33	89.55	-32.06
661.25	91.89	-36.87
684.68	91.62	-39.65
698.01	89.17	-40.21
700.57	85.03	-38.85
691.53	79.38	-36.04
670.34	72.26	-32.24
636.52	63.84	-27.65
590.07	54.45	-22.14
532.10	44.51	-15.53
465.46	34.38	-7.92
393.80	24.57	0.46
320.23	15.61	9.24
246.12	7.86	17.95
171.09	1.43	26.04
93.39	-4.02	33.06
11.85	-9.02	38.75
-72.91	-14.40	42.98
-159.52	-20.92	45.97
-246.22	-28.84	47.84
-330.59	-37.97	48.65
-410.57	-47.93	48.61
-483.76	-58.20	47.74
-547.14	-68.21	46.08
-599.07	-77.25	44.14
