GiroX	GiroY	GiroZ
22.60	-210.57	11.04
18.28	-187.62	7.57
14.00	-160.10	4.05
9.84	-128.50	0.56
6.11	-93.57	-2.57
3.48	-56.03	-5.28
1.96	-16.75	-7.58
0.44	23.28	-9.46
-2.07	62.86	-10.94
-5.83	100.54	-12.24
-10.24	135.23	-13.60
-14.48	165.91	-14.86
-18.81	191.26	-15.69
-23.59	209.93	-16.14
-28.43	221.32	-16.40
-32.16	225.82	-16.36
-33.75	223.62	-15.63
-33.61	214.80	-14.19
-32.88	199.75	-12.31
-32.26	178.86	-10.04
-31.17	152.88	-7.22
-28.51	122.63	-3.89
-23.31	89.29	-0.23
-15.17	54.15	3.66
-4.78	18.16	7.75
6.62	-17.92	11.51
18.36	-52.92	14.49
29.67	-85.55	16.66
39.73	-114.93	18.29
47.52	-141.03	19.67
52.04	-163.80	20.96
53.32	-182.97	22.36
52.15	-198.45	23.95
49.46	-210.05	25.58
45.51	-217.61	26.81
40.68	-221.07	27.33
35.38	-220.38	27.09
30.11	-215.44	26.07
25.29	-206.05	24.24
20.70	-192.10	21.85
16.09	-173.81	19.33
12.05	-151.16	16.88
8.72	-124.24	14.47
5.52	-93.25	11.90
2.32	-58.60	8.84
-0.49	-20.70	4.94
-2.11	19.99	0.05
-2.24	62.26	-5.67
-2.04	104.36	-11.77
-2.87	144.71	-17.86
-4.82	182.10	-23.68
-8.11	215.37	-28.88
-13.30	243.33	-33.24
-20.47	265.37	-36.77
-28.64	281.09	-39.36
-36.46	289.85	-40.60
-43.37	290.82	-40.32
-48.44	283.58	-38.75
-50.92	268.43	-36.07
-50.51	246.09	-32.33
-47.86	217.19	-27.66
-43.72	182.96	-22.35
-37.75	145.03	-16.93
-29.54	104.97	-11.70
-19.69	63.97	-6.76
-8.80	23.20	-2.23
2.85	-16.13	2.00
14.81	-53.42	6.18
26.08	-88.13	10.16
35.74	-119.79	13.58
43.91	-147.46	16.18
50.43	-170.52	18.04
55.07	-189.11	19.14
57.05	-203.64	19.47
56.03	-214.44	19.16
52.36	-221.82	18.38
46.54	-226.01	17.43
39.38	-227.08	16.47
31.89	-224.86	15.53
24.75	-219.27	14.64
18.18	-210.42	13.72
12.54	-198.40	12.66
8.19	-183.44	11.38
4.70	-165.93	9.73
1.31	-146.50	7.77
-2.18	-125.38	5.57
-5.55	-102.26	3.37
-8.37	-76.95	1.37
-10.82	-49.31	-0.55
-13.06	-19.53	-2.47
-15.08	11.96	-4.52
-17.46	44.41	-6.96
-20.64	77.00	-9.93
-24.13	109.01	-13.37
-27.45	139.74	-17.04
-30.57	168.65	-20.85
-33.70	195.38	-24.87
-36.57	219.58	-29.05
