GiroX	GiroY	GiroZ
-132.49	228.88	-15.27
-119.76	178.60	-23.51
-104.00	124.94	-29.11
-84.53	68.51	-32.42
-59.95	10.11	-33.00
-29.49	-47.93	-30.51
0.90	-101.59	-25.54
23.25	-147.56	-20.21
39.22	-183.78	-16.06
53.81	-209.99	-13.36
68.84	-226.91	-12.14
84.48	-235.96	-12.04
100.04	-239.20	-12.23
114.49	-238.76	-12.31
127.02	-236.23	-12.94
136.85	-232.71	-14.64
142.56	-228.49	-16.97
142.93	-223.02	-19.20
138.59	-215.55	-20.89
128.75	-205.07	-21.61
114.54	-189.99	-20.45
97.45	-169.33	-16.74
78.58	-142.87	-10.41
59.25	-110.81	-2.07
39.39	-73.21	8.05
17.26	-30.13	19.69
-7.68	17.93	32.04
-34.98	70.13	44.30
-64.55	124.87	55.56
-96.57	180.23	64.53
-129.91	233.21	69.80
-158.09	278.64	70.61
-170.53	312.64	67.93
-168.36	333.28	63.13
-161.56	339.85	56.34
-154.34	332.42	47.75
-146.54	311.91	38.00
-138.85	280.57	27.74
-131.81	241.08	17.49
-124.43	195.58	8.13
-114.98	145.19	0.43
-100.87	90.74	-5.47
-79.57	33.12	-9.44
-49.14	-26.74	-10.91
-10.00	-86.67	-9.24
30.54	-141.98	-4.34
58.88	-188.78	2.18
74.69	-225.09	8.27
86.61	-250.81	12.96
98.89	-266.35	16.15
110.71	-272.52	18.29
120.87	-270.91	20.27
129.35	-263.48	22.27
135.84	-251.84	23.60
139.01	-236.57	23.71
138.16	-217.78	22.57
132.49	-195.38	20.53
121.64	-168.10	18.39
106.28	-135.16	17.31
87.69	-96.41	17.52
67.88	-52.16	18.86
48.99	-3.42	21.29
30.99	48.46	24.71
11.99	101.97	28.57
-9.75	155.73	31.99
-35.03	208.08	33.86
-63.62	256.61	33.67
-93.26	297.59	31.38
-114.33	327.53	27.40
-122.32	344.84	22.86
-120.65	349.57	18.36
-114.29	341.70	13.68
-106.66	322.22	8.09
-100.19	292.92	1.56
-96.89	255.37	-5.07
-96.79	210.91	-10.73
-96.91	160.84	-14.63
-92.93	106.57	-16.29
-81.27	49.24	-15.58
-60.49	-9.88	-12.14
-32.01	-68.89	-5.93
1.28	-124.55	2.50
30.77	-173.84	11.94
51.33	-215.22	20.64
65.65	-247.89	27.47
77.82	-272.12	31.94
89.77	-288.80	34.34
101.73	-298.96	35.52
113.79	-303.00	36.13
125.56	-300.89	35.99
135.23	-292.67	34.57
140.44	-278.71	31.71
140.80	-259.66	27.72
135.31	-236.07	23.16
125.35	-207.06	18.95
112.92	-172.02	15.91
97.92	-130.64	14.32
80.15	-83.24	14.24
59.20	-30.81	15.77
33.82	25.81	18.70
3.92	85.07	22.22
-28.00	144.93	24.87
-58.50	203.19	25.26
-86.22	256.54	22.97
-109.97	300.07	18.56
-126.14	330.83	13.38
-134.40	348.38	8.73
-137.12	352.75	4.63
-136.06	343.43	0.12
-132.55	321.30	-5.47
-128.16	288.31	-11.96
-124.04	246.64	-18.16
-119.66	198.10	-22.59
-111.92	143.88	-24.33
-98.15	85.39	-23.09
-78.46	23.91	-18.70
-54.35	-39.41	-11.18
-27.18	-101.98	-1.04
0.64	-159.46	10.72
24.37	-208.63	22.24
42.46	-247.88	31.48
57.83	-276.12	37.80
70.97	-293.04	41.71
81.29	-299.43	44.02
90.27	-297.14	45.16
99.53	-288.03	44.71
109.24	-273.21	41.93
117.02	-253.11	36.92
121.00	-228.30	30.45
119.15	-198.99	23.49
112.11	-164.75	17.34
100.57	-125.55	12.98
84.29	-81.56	10.53
63.82	-33.53	9.77
40.01	17.08	10.84
13.48	68.97	13.77
-14.92	120.76	18.08
-43.82	171.16	22.65
-71.28	218.79	26.59
-96.14	261.35	29.55
-117.51	294.98	31.43
-132.10	316.97	32.50
-139.00	327.11	32.91
-139.80	325.43	32.10
-137.44	311.89	29.12
-133.06	287.77	23.72
-127.96	255.02	16.75
-123.72	215.20	9.83
-119.20	169.54	4.17
-111.31	118.90	0.30
-97.97	64.17	-1.83
-79.31	6.34	-1.89
-57.07	-53.41	0.35
-32.49	-112.64	4.55
-6.95	-167.27	10.05
16.41	-214.17	15.46
35.53	-252.20	19.47
51.97	-280.90	21.92
67.05	-300.31	22.96
80.67	-311.28	22.79
94.07	-314.77	21.64
107.83	-311.20	19.30
119.49	-300.84	15.58
126.31	-284.02	10.82
128.68	-261.47	5.70
127.14	-233.88	1.11
122.21	-200.35	-1.93
114.38	-160.48	-2.51
102.71	-114.46	-0.74
85.48	-63.11	3.16
62.27	-7.79	8.95
33.33	50.28	16.15
0.00	109.62	24.17
-35.43	168.39	31.78
-69.41	224.09	37.71
-97.97	272.55	41.47
-118.03	308.62	43.14
-127.55	330.49	43.46
-130.43	339.08	42.80
-130.40	335.15	40.45
-127.86	318.54	35.43
-124.42	290.43	27.02
-121.79	252.85	16.29
-119.58	207.51	5.39
-115.11	155.77	-3.92
-103.76	98.62	-10.90
-83.57	37.17	-15.43
-56.17	-27.24	-17.31
-25.08	-92.89	-16.38
6.72	-156.37	-13.06
36.90	-212.38	-8.16
61.68	-257.91	-3.07
80.42	-291.85	1.58
94.32	-313.32	5.64
103.47	-321.64	9.29
107.47	-317.01	13.18
107.30	-300.58	17.01
105.69	-273.89	19.51
105.61	-238.65	19.98
104.37	-196.32	19.47
98.55	-146.29	19.79
85.70	-88.25	22.34
63.32	-22.32	26.73
31.97	50.53	31.81
-4.87	126.47	36.05
-45.18	200.18	37.80
-85.76	264.06	36.06
-117.53	311.15	32.02
-134.72	338.46	27.68
-140.73	345.69	23.31
-141.18	334.40	19.42
-137.91	307.47	16.37
-133.25	268.39	13.40
-128.54	220.78	9.38
-125.18	165.97	4.30
-120.31	103.98	-1.73
-105.26	34.67	-8.45
-77.02	-40.70	-15.26
-40.81	-118.10	-20.36
-0.07	-192.55	-21.09
42.56	-256.93	-16.05
78.46	-303.70	-7.21
99.89	-328.92	2.77
109.94	-331.80	12.62
115.99	-314.14	21.55
117.96	-279.07	29.56
112.49	-230.30	37.07
99.75	-171.76	44.17
84.97	-107.46	49.92
67.70	-40.15	53.81
43.74	30.01	56.25
10.42	100.35	57.88
-29.50	167.24	57.58
-69.83	225.71	53.55
-101.37	269.62	45.62
-121.04	294.92	35.26
-133.47	300.52	23.67
-141.76	286.96	12.44
-146.07	255.80	2.67
-144.23	209.16	-5.48
-133.41	149.68	-12.08
-111.96	79.94	-17.79
-81.52	3.71	-23.44
-43.97	-74.07	-29.09
-4.23	-150.49	-33.59
35.37	-221.33	-36.75
74.85	-282.08	-37.49
109.97	-326.82	-33.86
131.51	-348.85	-25.91
137.76	-345.27	-14.21
136.34	-318.06	0.21
130.65	-271.62	14.93
118.32	-209.99	28.62
97.70	-137.04	40.80
66.61	-55.58	50.76
28.12	31.76	57.83
-16.58	120.14	61.62
-65.12	202.43	61.65
-106.42	269.02	58.42
-130.53	313.69	53.95
-145.05	334.72	48.69
-155.49	332.28	42.10
-160.87	307.54	34.39
-158.87	262.54	25.16
-147.94	200.37	14.59
-126.37	125.43	2.96
-93.61	43.13	-10.08
-53.50	-40.92	-22.63
-8.31	-122.93	-32.39
36.91	-199.52	-37.55
76.94	-265.33	-35.16
111.33	-313.73	-24.06
137.40	-336.69	-7.25
148.44	-330.96	10.49
147.15	-298.75	27.04
133.69	-244.31	41.42
108.58	-172.56	52.45
74.14	-89.91	59.82
33.86	-0.71	63.57
-8.07	90.47	65.66
-50.46	176.90	67.82
-88.43	249.82	69.14
-114.63	302.06	69.80
-130.02	330.54	69.87
-137.00	334.95	67.04
-136.95	316.06	59.94
-132.44	274.84	49.39
-122.11	213.88	37.54
-100.81	138.19	25.49
-64.95	53.63	13.03
-17.52	-34.24	1.38
33.99	-118.42	-7.49
80.27	-194.12	-11.59
115.53	-257.38	-10.06
139.00	-303.67	-2.66
151.28	-327.70	8.33
151.83	-325.97	19.05
141.78	-299.16	27.83
124.41	-251.37	34.61
97.77	-187.80	39.18
62.53	-110.99	41.41
19.86	-25.28	41.39
-27.82	63.02	39.21
-75.06	147.18	36.20
-117.21	219.13	34.32
-149.36	270.71	34.01
-168.58	298.12	34.52
-177.83	300.87	34.02
-176.76	280.05	30.69
-165.58	237.91	24.86
-145.09	177.89	17.37
-113.14	105.30	7.74
-72.30	26.83	-3.63
-24.37	-51.53	-13.84
26.41	-126.50	-20.65
73.89	-193.34	-22.41
112.78	-246.70	-16.60
139.83	-282.27	-3.36
155.23	-295.19	12.53
157.09	-282.21	26.52
145.01	-245.05	36.50
122.65	-188.19	41.71
94.28	-117.88	42.22
62.52	-40.37	39.34
27.88	40.96	35.22
-13.20	121.20	32.70
-55.88	192.55	32.81
-90.87	247.38	34.12
-116.18	281.30	35.68
-132.69	292.95	36.34
-139.46	282.33	33.88
-134.75	250.25	27.31
-118.28	198.53	18.28
-89.24	131.21	8.45
-49.58	54.05	-1.78
-2.94	-26.42	-10.65
43.06	-103.05	-16.15
80.47	-169.49	-17.28
105.84	-222.50	-13.08
121.39	-259.33	-4.55
129.90	-276.34	5.87
129.60	-270.50	15.92
119.24	-241.83	24.37
101.48	-193.57	30.43
75.95	-129.42	33.27
43.93	-54.04	32.91
5.89	26.18	29.49
-37.26	105.19	24.59
-80.46	175.40	21.09
-116.05	228.51	19.63
-140.15	260.23	19.71
-152.43	269.83	20.24
-153.49	257.87	18.85
-142.67	225.26	14.46
-121.39	174.20	7.62
-92.10	109.16	-1.62
-57.87	36.25	-12.66
-23.48	-37.99	-22.40
11.02	-109.22	-28.18
44.22	-173.89	-28.98
75.61	-226.79	-23.41
102.31	-263.60	-11.74
121.77	-279.71	2.67
130.76	-271.42	16.49
127.54	-239.92	27.67
115.04	-189.26	35.28
94.87	-124.73	39.66
67.16	-49.90	41.40
32.81	30.90	41.21
-8.18	111.35	40.61
-51.27	184.23	40.76
-85.75	241.03	40.42
-106.22	275.85	39.28
-116.61	287.84	37.75
-122.10	278.28	34.85
-121.12	248.11	29.85
-110.96	198.95	23.53
-92.17	134.86	16.93
-65.22	61.17	10.08
-32.71	-16.54	3.97
1.32	-92.13	0.01
34.09	-161.43	-1.34
64.99	-220.40	1.07
92.69	-264.64	7.83
114.65	-290.49	17.79
128.20	-293.69	28.79
129.87	-272.39	38.59
122.00	-228.76	46.02
103.76	-166.90	50.85
76.16	-90.83	52.76
40.83	-6.80	51.56
0.71	77.70	47.30
-42.09	155.16	42.30
-78.82	217.02	37.75
-101.87	257.11	33.99
-114.53	273.60	31.72
-121.68	267.40	29.90
-121.62	239.35	27.09
-110.17	190.59	22.55
-88.21	124.94	16.18
-58.71	49.35	7.98
-31.08	-29.50	-0.33
-3.07	-106.21	-6.76
29.17	-176.74	-9.28
61.19	-235.10	-5.97
88.52	-275.76	3.98
114.29	-294.49	18.06
133.45	-287.56	33.01
136.66	-254.36	46.35
124.72	-198.19	56.83
98.09	-125.35	63.30
62.72	-42.10	64.88
22.31	45.15	62.33
-23.86	128.72	57.42
-69.74	198.74	53.10
-99.78	247.25	49.40
-116.25	271.09	46.33
-129.47	271.49	43.69
-137.99	249.77	40.40
-135.59	206.85	35.54
-122.09	146.15	28.64
-101.04	73.78	19.72
-76.68	-4.25	10.39
-48.55	-82.22	2.02
-11.61	-154.94	-3.79
28.86	-217.45	-4.20
63.86	-264.11	1.73
92.74	-290.08	13.30
112.88	-291.27	27.47
116.61	-265.69	41.53
106.75	-215.66	52.89
86.52	-146.86	59.47
60.96	-65.69	60.14
31.80	21.37	55.53
-4.26	106.59	47.44
-44.86	181.80	39.59
-80.02	239.14	33.00
-103.58	273.48	28.07
-119.52	284.36	25.55
-132.08	273.29	24.22
-137.83	241.87	22.87
-135.38	190.94	20.22
-120.56	122.78	15.02
-90.55	43.79	7.22
-56.62	-38.60	-0.92
-21.50	-118.17	-6.69
14.38	-189.97	-8.26
45.89	-248.22	-4.72
70.47	-287.33	4.30
88.76	-303.56	16.41
101.55	-294.45	28.55
105.49	-260.48	38.47
98.97	-205.66	44.90
82.75	-135.73	47.11
61.44	-55.73	44.85
35.98	29.58	39.07
1.93	114.79	31.43
-38.87	191.67	24.67
-71.80	250.97	19.00
-90.64	286.98	14.23
-104.13	299.21	11.31
-115.60	288.48	9.83
-119.35	255.80	8.71
-113.21	202.87	6.85
-97.20	133.71	4.18
-71.62	55.38	0.86
-43.61	-25.41	-2.26
-14.23	-102.97	-3.73
16.38	-173.73	-3.12
47.48	-233.35	0.35
75.39	-276.97	7.83
95.51	-300.57	18.34
107.26	-300.25	30.21
110.20	-275.10	41.41
106.55	-228.21	49.89
94.94	-163.27	54.68
74.26	-84.82	55.88
44.94	1.26	53.92
7.96	88.76	49.31
-33.73	169.26	43.42
-68.97	234.35	36.77
-90.85	277.83	29.72
-104.51	298.35	23.99
-116.19	296.89	20.17
-123.69	274.95	17.91
-123.64	234.13	16.11
-115.62	175.77	13.61
-97.58	103.42	9.58
-69.95	24.12	3.94
-39.03	-56.22	-1.23
-8.96	-133.19	-4.24
22.72	-202.04	-3.65
53.91	-258.13	1.85
79.28	-297.14	11.83
97.84	-314.61	24.52
108.47	-307.85	37.93
110.58	-278.31	49.91
106.83	-229.42	59.24
95.98	-165.61	65.64
76.59	-90.11	68.86
50.82	-6.58	69.86
17.83	79.67	69.56
-19.72	160.61	67.98
-49.86	227.78	64.14
-70.02	274.45	57.99
-84.51	298.20	50.67
-96.71	299.07	42.89
-104.93	278.64	35.09
-107.60	238.75	27.70
-104.84	181.97	21.15
-93.38	113.29	15.61
-74.37	38.22	10.76
-51.98	-38.52	6.80
-26.55	-113.51	4.80
-0.08	-182.80	4.96
25.45	-242.23	8.34
47.40	-287.94	15.44
62.38	-315.54	25.61
70.13	-320.32	37.43
70.65	-301.01	48.95
66.81	-259.91	58.59
58.59	-201.10	65.38
43.49	-127.65	68.72
22.59	-44.20	68.79
-2.65	41.80	65.77
-27.58	122.84	59.79
-45.85	193.34	51.16
-59.20	247.84	40.39
-70.83	282.09	28.52
-80.87	294.92	16.61
-90.07	287.00	5.82
-96.83	259.75	-2.85
-98.64	214.65	-9.22
-92.90	153.75	-13.91
-78.03	81.27	-17.72
-56.96	3.18	-20.80
-34.50	-75.61	-21.83
-12.80	-149.97	-20.15
6.56	-215.05	-15.73
22.60	-266.60	-8.36
34.53	-301.15	1.61
42.81	-315.22	13.42
47.79	-306.21	26.18
48.54	-275.00	38.27
45.03	-224.59	48.11
34.90	-158.90	54.01
20.93	-82.49	54.98
5.96	-1.08	51.79
-11.37	79.16	45.63
-28.32	152.15	37.23
-40.91	212.33	26.89
-50.77	255.47	15.27
-60.21	279.70	3.75
-70.61	285.01	-6.27
-81.01	271.99	-13.87
-88.59	241.72	-19.09
-90.08	196.13	-22.69
-83.27	138.38	-25.42
-67.56	72.62	-27.50
-44.46	3.89	-28.18
-21.76	-62.94	-26.34
-5.01	-123.01	-21.80
7.48	-172.96	-14.35
18.03	-210.67	-4.21
27.10	-234.20	7.53
35.01	-241.87	19.70
42.94	-232.42	30.99
50.84	-206.07	40.08
56.54	-164.74	45.75
59.09	-111.28	47.71
54.81	-49.50	46.51
41.99	16.77	42.82
24.20	83.01	37.37
6.14	144.22	30.24
-8.91	196.36	21.71
-21.00	236.56	12.67
-32.13	262.60	3.51
-42.11	272.95	-5.25
-49.04	267.73	-12.85
-53.97	248.63	-18.77
-58.40	217.47	-22.84
-60.60	175.61	-25.06
-57.87	125.51	-25.38
-51.10	70.84	-24.00
-41.49	15.60	-21.09
-30.13	-37.23	-16.46
-18.21	-85.20	-10.44
-5.71	-126.38	-3.15
6.71	-159.31	4.85
18.86	-182.80	12.63
30.81	-195.68	19.53
41.12	-197.43	24.86
48.58	-188.44	28.27
54.31	-170.32	29.87
58.71	-145.22	30.07
56.54	-115.25	29.13
34.55	-84.53	24.49
11.72	-56.32	15.37
-3.37	-31.99	4.30
-12.16	-11.66	-6.63
-17.64	5.12	-16.07
-22.05	18.86	-23.87
-25.07	30.06	-30.65
-26.03	39.48	-37.08
-24.37	48.01	-43.20
-19.63	56.37	-48.70
-11.98	64.73	-53.64
-4.27	73.16	-58.57
-0.37	81.45	-64.43
3.59	89.13	-71.44
21.47	97.16	-76.38
36.27	105.06	-77.63
42.62	111.07	-76.69
43.76	113.83	-74.97
42.51	112.80	-73.70
40.79	107.81	-72.59
38.64	99.29	-70.77
34.74	87.63	-68.63
28.15	72.69	-66.88
18.78	54.66	-66.15
7.42	33.93	-65.79
-1.65	11.14	-64.62
-4.26	-12.54	-61.60
-3.07	-35.90	-56.85
0.35	-56.83	-51.33
16.19	-67.96	-45.43
40.78	-69.61	-39.49
61.70	-65.69	-34.52
75.82	-55.29	-29.44
85.59	-38.15	-21.98
83.67	-16.82	-12.07
72.03	6.01	0.11
58.57	29.33	14.11
47.67	51.20	28.91
39.32	68.66	42.58
32.71	78.87	53.06
26.35	81.16	60.44
21.55	75.82	65.97
17.97	62.41	70.13
11.20	39.29	73.01
10.29	12.39	73.78
17.93	-12.99	72.39
29.99	-35.96	68.80
37.48	-56.42	62.10
43.14	-72.77	53.38
46.98	-83.81	43.93
45.97	-89.96	34.22
40.78	-90.98	24.93
35.89	-86.07	17.07
27.84	-74.22	12.06
16.10	-54.82	10.14
2.62	-28.16	10.47
-13.03	5.19	12.73
-36.61	40.58	16.17
-72.50	72.51	20.48
-109.88	98.26	25.42
-140.37	114.53	30.24
-158.89	119.95	33.77
-163.66	114.79	35.30
-157.85	100.37	35.11
-145.17	78.96	34.00
-129.22	52.85	32.60
-115.41	24.76	31.00
-102.77	-3.43	29.18
-90.29	-32.09	27.00
-75.40	-61.61	24.48
-55.53	-91.70	21.76
-32.03	-121.23	19.13
-6.16	-148.55	17.15
20.49	-171.65	16.25
45.52	-188.87	15.50
67.48	-198.93	13.87
84.91	-201.17	11.03
96.98	-195.59	7.35
103.71	-183.22	3.54
105.25	-165.32	0.16
102.96	-143.58	-2.37
99.95	-119.77	-3.70
94.86	-93.36	-3.80
86.80	-64.32	-2.61
72.44	-33.14	-0.69
52.61	-0.93	1.40
26.61	31.42	3.20
-7.39	63.00	4.35
-48.36	93.05	5.11
-90.54	121.24	5.66
-124.93	147.37	5.94
-145.13	170.12	5.97
-150.75	187.33	5.58
-144.95	198.07	4.48
-132.84	203.48	2.44
-120.34	204.77	-0.88
-108.06	200.62	-5.91
-97.33	190.55	-12.89
-84.83	174.63	-20.85
-71.10	153.07	-28.50
-55.91	126.30	-35.00
-36.80	95.45	-39.88
-13.38	61.49	-42.52
11.24	24.78	-42.63
32.50	-14.32	-40.56
47.28	-54.09	-37.06
54.49	-91.62	-32.64
55.68	-125.29	-27.63
55.05	-155.49	-22.56
55.93	-182.47	-17.86
59.74	-205.89	-13.77
65.74	-225.36	-10.91
73.27	-240.69	-9.66
84.63	-250.93	-10.14
101.00	-255.22	-12.15
116.59	-254.33	-14.83
124.94	-247.76	-16.79
127.09	-235.42	-17.69
125.00	-218.53	-17.72
120.45	-198.02	-16.70
112.97	-174.71	-14.77
101.94	-148.93	-12.33
87.93	-120.97	-9.74
71.96	-90.91	-7.18
54.58	-58.89	-4.69
36.07	-25.35	-1.95
16.75	9.17	1.34
-5.11	43.84	5.27
-30.00	77.44	9.65
-52.51	109.69	13.97
-67.25	139.09	16.81
-76.77	164.78	17.99
-84.89	187.17	18.00
-94.38	205.97	16.69
-103.26	220.20	14.14
-108.02	228.52	10.87
-107.03	230.37	7.57
-100.86	225.91	4.78
-91.16	215.97	2.77
-80.58	201.64	1.53
-71.47	183.43	0.87
-63.73	161.37	0.49
-56.37	135.95	0.25
-49.15	108.07	0.13
-42.06	78.57	0.21
-34.39	47.99	0.46
-25.25	16.71	0.69
-14.91	-14.52	0.96
-4.78	-44.34	1.46
3.51	-71.34	2.26
7.84	-94.86	3.13
7.85	-115.19	3.69
5.90	-133.10	3.99
5.75	-149.44	4.47
9.88	-164.26	5.29
17.95	-177.26	6.32
28.33	-188.51	7.39
41.12	-197.87	8.01
58.67	-204.41	7.65
77.10	-207.64	6.44
89.60	-206.13	5.29
92.30	-198.95	5.29
89.37	-186.71	6.51
82.96	-170.06	8.60
76.47	-149.65	11.70
70.93	-125.62	15.86
65.70	-98.18	20.51
58.88	-67.44	24.95
48.19	-33.70	29.02
32.50	2.50	32.77
11.61	40.44	36.22
-14.36	79.20	39.52
-45.85	116.98	42.80
-77.58	152.23	45.72
-101.52	182.82	47.36
-113.29	207.43	46.99
-117.96	226.45	44.86
-119.46	240.19	41.48
-120.78	249.08	36.67
-121.04	253.10	30.28
-119.24	252.07	22.77
-115.72	245.67	14.98
-110.46	233.68	7.57
-102.50	216.26	1.13
-90.94	193.95	-3.90
-76.38	167.15	-7.47
-60.42	136.70	-9.55
-44.01	103.88	-10.24
-28.50	69.72	-9.44
-14.52	35.01	-7.48
-1.29	0.56	-4.94
11.81	-33.01	-2.20
24.10	-65.27	0.64
34.42	-95.69	3.57
41.87	-123.70	6.52
47.05	-149.00	9.34
51.55	-171.49	11.68
56.59	-191.33	13.19
62.63	-208.86	13.68
70.04	-224.04	13.15
78.96	-236.87	11.81
90.12	-246.76	9.78
103.16	-252.77	6.94
112.97	-254.83	3.47
115.89	-252.71	-0.05
112.12	-246.34	-3.06
106.10	-236.47	-5.33
100.09	-224.12	-6.73
96.05	-209.53	-6.81
93.89	-192.61	-5.59
91.92	-173.00	-3.46
87.65	-150.21	-1.02
79.17	-123.76	1.38
65.53	-93.94	3.54
46.80	-61.67	5.33
22.85	-28.53	6.97
-4.75	3.86	8.69
-30.01	34.90	10.46
-49.21	63.76	11.93
-61.87	90.33	12.67
-71.20	115.60	12.58
-78.46	140.49	11.70
-84.55	164.81	9.75
-88.67	188.37	6.99
-90.47	210.80	3.98
-90.85	230.99	1.12
-89.92	247.77	-1.52
-88.15	260.18	-3.83
-86.15	267.49	-5.64
-83.49	269.18	-7.01
-78.44	265.25	-8.20
-71.00	255.75	-9.40
-61.38	241.42	-10.61
-50.86	223.16	-11.83
-40.92	201.19	-12.88
-31.99	175.19	-13.73
-23.98	145.33	-14.48
-17.67	112.17	-15.29
-13.37	76.40	-16.00
-9.54	38.92	-16.16
-5.39	0.45	-15.21
-0.11	-38.01	-12.86
7.09	-74.95	-9.25
15.47	-108.92	-4.81
22.40	-139.36	0.10
27.74	-166.05	5.07
32.82	-189.50	9.75
39.45	-210.71	14.04
49.36	-230.03	17.77
65.35	-245.99	20.81
87.08	-257.24	23.18
107.92	-263.17	25.07
120.58	-262.41	26.81
122.27	-254.04	28.59
117.19	-238.56	30.10
111.07	-217.41	31.08
103.26	-191.55	30.82
96.06	-161.38	29.73
89.21	-127.15	28.80
81.13	-89.62	28.70
69.93	-49.86	29.55
53.86	-8.51	31.41
30.89	33.87	34.15
-2.75	75.61	37.63
-46.41	115.52	41.60
-91.79	152.75	45.47
-129.27	184.47	48.00
-151.60	207.46	48.16
-157.00	219.83	45.97
-151.40	223.12	41.89
-141.13	219.33	37.42
-134.13	209.43	32.88
-130.84	193.74	27.67
-128.39	173.08	21.77
-124.78	148.71	15.89
-119.48	121.42	10.52
-111.55	91.72	5.92
-99.01	60.31	2.19
-81.24	27.70	-0.63
-59.45	-5.49	-2.60
-35.72	-37.81	-3.55
-14.34	-66.72	-3.24
-1.13	-89.50	-1.79
3.79	-106.36	0.14
6.70	-119.28	1.63
13.02	-129.85	2.53
23.45	-138.64	3.41
35.42	-145.86	4.40
46.64	-151.82	5.33
57.18	-156.75	6.13
67.70	-160.39	6.82
77.38	-162.45	7.44
85.15	-163.11	7.84
91.65	-162.25	7.65
96.65	-159.71	6.97
99.30	-155.28	6.10
99.46	-148.74	5.52
97.53	-139.68	6.07
91.69	-127.13	8.52
81.85	-109.94	13.25
70.53	-87.95	19.53
60.41	-61.50	26.49
51.47	-31.20	33.57
40.46	2.12	40.67
13.98	35.46	46.48
-33.50	66.00	47.99
-85.98	95.02	45.59
-131.87	121.67	40.43
-161.32	143.56	33.84
-174.71	158.58	27.65
-180.04	166.91	22.95
-181.52	169.67	19.64
