GiroX	GiroY	GiroZ
33.12	-370.29	0.49
34.38	-358.41	-4.74
34.03	-342.54	-8.97
32.25	-322.73	-12.16
30.00	-299.17	-14.69
27.90	-271.96	-16.72
26.10	-241.17	-18.20
24.31	-206.54	-19.24
21.10	-167.96	-19.91
15.85	-125.50	-20.29
9.07	-79.53	-20.38
2.08	-31.00	-20.26
-4.02	18.95	-19.98
-9.27	69.64	-19.53
-14.44	120.83	-18.82
-18.04	172.05	-17.70
-19.66	222.80	-16.10
-19.03	272.26	-14.15
-15.79	318.80	-12.11
-9.35	359.91	-9.85
-1.07	392.80	-7.08
7.03	414.79	-3.63
14.12	424.06	0.49
19.60	419.95	4.98
23.36	402.96	9.58
26.94	373.71	14.60
31.22	333.67	19.13
36.06	284.94	22.66
40.98	229.57	24.76
44.96	169.35	25.08
48.30	105.44	23.28
50.79	38.96	19.39
51.11	-28.35	14.04
47.45	-93.88	7.75
40.42	-154.76	0.83
31.98	-208.50	-6.63
23.70	-253.32	-14.39
17.13	-288.60	-22.11
12.97	-314.84	-29.63
10.26	-332.41	-37.26
7.98	-342.33	-44.15
5.78	-346.15	-49.90
3.54	-345.33	-54.14
1.16	-341.00	-56.65
-1.60	-333.90	-57.22
-4.82	-324.19	-55.68
-8.27	-311.81	-52.38
-11.57	-296.69	-48.07
-13.41	-278.78	-43.39
-13.70	-257.96	-38.78
-12.59	-234.25	-34.47
-10.63	-207.64	-30.61
-8.20	-177.81	-27.29
-5.96	-144.51	-24.43
-4.28	-107.64	-21.71
-3.35	-67.27	-18.73
-3.49	-23.40	-15.25
-5.02	23.92	-11.26
-8.24	74.67	-7.08
-12.97	128.51	-3.11
-17.93	184.69	0.70
-20.89	241.61	4.64
-21.17	297.13	8.96
-17.65	348.57	13.95
-11.12	393.21	19.91
-3.95	428.77	27.17
2.91	453.47	35.42
9.53	465.91	43.55
15.72	465.15	50.40
21.46	450.66	54.95
26.55	422.76	56.46
31.06	382.31	55.84
35.72	330.57	53.45
40.55	269.33	49.67
45.18	200.58	44.64
48.04	127.05	38.49
48.19	51.37	31.34
44.59	-23.54	23.11
38.15	-95.01	13.77
30.93	-160.80	3.41
23.19	-218.99	-7.25
15.15	-267.96	-17.25
7.67	-306.70	-25.90
1.65	-334.60	-32.70
-2.18	-352.15	-37.40
-4.20	-360.42	-41.05
-5.07	-360.56	-43.63
-4.74	-354.01	-45.01
-3.64	-342.14	-45.25
-1.99	-326.48	-44.70
-0.68	-307.88	-43.55
0.10	-286.84	-41.74
0.14	-263.50	-39.32
-0.60	-238.01	-36.65
-1.15	-210.90	-34.23
-1.45	-182.77	-32.22
-1.70	-153.74	-30.52
-2.23	-123.61	-29.05
-2.73	-92.05	-27.66
-2.59	-58.71	-26.17
-1.92	-23.37	-24.33
-1.06	14.10	-21.97
-0.80	53.90	-18.83
-2.21	96.22	-14.55
-5.44	141.05	-9.15
-10.79	188.09	-3.20
-16.32	236.16	2.67
-19.76	283.45	7.89
-19.59	327.82	12.41
-15.40	366.90	16.47
-8.59	398.44	20.60
-0.30	420.35	25.18
8.42	431.08	30.05
16.05	430.16	34.67
20.95	417.99	38.32
22.38	395.22	40.24
20.80	362.22	40.65
18.36	319.34	39.40
16.38	267.60	36.40
16.41	208.27	32.15
18.02	143.18	27.12
19.64	74.63	22.03
19.63	5.15	17.11
17.18	-62.48	12.34
12.87	-125.66	7.51
7.22	-182.00	2.55
0.61	-229.72	-2.40
-5.92	-268.30	-7.05
-11.17	-298.30	-11.08
-14.13	-320.67	-14.03
-14.11	-335.95	-16.35
-11.83	-344.37	-18.17
-7.87	-346.68	-19.36
-2.96	-343.85	-20.01
2.32	-336.89	-20.17
7.57	-326.75	-20.25
11.96	-313.85	-20.45
14.85	-298.12	-20.87
16.39	-279.42	-21.63
16.79	-257.75	-22.80
16.47	-233.33	-24.25
15.84	-206.14	-25.72
15.64	-175.81	-26.97
15.85	-141.97	-27.75
15.83	-104.49	-27.70
15.11	-63.49	-26.51
13.58	-19.17	-23.99
10.86	28.25	-20.23
6.26	78.64	-15.37
-0.84	131.98	-9.67
-9.62	187.97	-3.61
-17.48	245.11	2.22
-22.02	301.07	7.43
-21.49	352.86	12.06
-15.94	397.43	16.78
-6.99	432.24	22.23
2.75	455.18	28.28
11.98	465.03	34.20
20.10	461.45	38.87
26.35	444.92	41.13
29.99	416.51	40.73
32.05	376.93	38.47
33.38	327.24	34.31
34.79	269.01	29.07
36.89	203.72	23.62
39.08	133.35	18.84
40.03	60.14	14.92
38.10	-13.10	11.53
32.86	-83.42	7.97
25.16	-148.24	3.75
16.88	-205.62	-1.01
8.92	-254.18	-5.81
2.05	-293.62	-10.03
-3.16	-324.34	-12.91
-5.70	-347.17	-14.39
-5.77	-362.45	-15.31
-3.72	-370.80	-15.50
-0.31	-373.22	-15.34
3.03	-370.73	-15.12
5.16	-364.43	-15.13
5.92	-355.00	-15.35
6.03	-342.75	-15.75
6.21	-327.68	-16.50
6.67	-309.62	-17.81
7.49	-288.38	-19.75
8.43	-263.90	-22.23
8.99	-236.17	-24.99
9.43	-205.29	-27.86
9.64	-171.33	-30.73
8.90	-134.25	-33.40
6.84	-94.15	-35.68
4.00	-51.51	-37.43
1.26	-6.64	-38.40
-1.11	40.56	-38.51
-3.11	90.37	-37.78
-4.96	142.77	-36.38
-7.39	197.62	-34.38
-11.20	254.38	-31.85
-15.23	311.97	-28.75
-17.00	368.32	-25.24
-15.54	420.88	-21.33
-11.10	466.68	-16.55
-4.31	502.66	-10.28
4.06	526.02	-2.43
13.74	534.81	6.48
23.76	528.58	15.24
32.97	507.91	22.52
40.56	473.98	28.44
45.85	428.24	32.87
48.63	372.63	35.95
49.68	308.87	37.74
50.04	238.71	38.42
50.55	163.69	38.10
50.35	85.55	36.50
48.69	6.66	33.36
45.21	-69.97	28.20
40.14	-141.28	20.75
34.30	-204.57	11.09
28.10	-257.83	-0.24
22.66	-300.28	-12.12
18.95	-332.27	-23.10
17.49	-354.89	-33.00
17.97	-369.60	-41.17
19.30	-378.04	-47.30
21.41	-381.67	-51.25
24.60	-381.93	-53.22
27.38	-379.64	-53.70
28.32	-374.85	-52.81
27.70	-367.27	-50.61
26.40	-356.50	-47.44
24.46	-342.03	-43.76
21.77	-323.51	-39.92
18.79	-300.71	-36.04
15.76	-273.25	-32.15
12.96	-240.87	-28.43
10.35	-203.36	-25.15
7.77	-160.71	-22.46
5.41	-113.38	-20.28
2.36	-62.01	-18.54
-1.65	-7.27	-17.21
-6.59	50.36	-16.04
-12.09	110.40	-14.58
-18.71	172.22	-12.84
-26.21	234.82	-11.07
-32.05	296.54	-9.32
-34.42	355.27	-7.63
-33.03	408.59	-5.79
-28.27	453.81	-3.18
-21.53	488.23	0.86
-13.25	509.52	6.11
-3.24	516.04	11.82
7.18	507.51	17.29
16.33	484.81	21.87
22.81	449.36	26.28
27.37	402.09	29.90
30.88	344.32	31.86
34.25	277.76	32.11
37.88	204.63	31.26
41.20	127.01	29.72
43.35	46.95	27.33
43.49	-33.29	23.89
41.24	-111.02	19.02
37.04	-183.49	12.48
31.11	-248.24	4.76
23.33	-303.48	-3.55
15.43	-348.56	-11.79
9.79	-383.93	-19.22
6.99	-410.10	-26.27
