"GiroX"	"GiroY"	"GiroZ"	"Class"
-19.4177	156.6322	-16.3117	"Delante"
-12.9277	143.0327	-19.4268	"Delante"
-15.8038	146.383	-11.1504	"Delante"
-12.5054	106.012	-3.555	"Delante"
-10.4284	93.1131	-9.3318	"Delante"
-10.3734	73.5904	-3.8568	"Delante"
-11.9554	120.9964	-1.6856	"Delante"
-13.1323	208.5144	-11.7307	"Delante"
7.1129	163.5876	-26.3445	"Delante"
30.4049	154.988	-20.9322	"Delante"
-7.5477	96.9693	-3.4823	"Delante"
-15.1126	130.507	7.3313	"Delante"
-13.7407	88.3779	-1.1541	"Delante"
-5.6784	64.883	-2.0344	"Delante"
-10.8332	73.356	1.4351	"Delante"
-8.1354	68.6118	-0.0349	"Delante"
-2.0713	95.352	-1.9937	"Delante"
53.2473	171.9402	-57.3331	"Delante"
21.1758	117.0884	-11.8113	"Delante"
14.2615	105.3804	6.1356	"Delante"
9.0045	116.8604	11.1875	"Delante"
-14.7989	90.6709	2.781	"Delante"
-3.6214	121.6443	-11.9876	"Delante"
5.1001	130.6509	1.0546	"Delante"
12.5653	121.129	-1.1941	"Delante"
-10.1914	137.6137	-1.4539	"Delante"
-35.4727	130.0811	-6.6154	"Delante"
-44.7353	146.3557	-6.2851	"Delante"
-61.9724	236.9763	-8.3603	"Delante"
-31.2906	192.3971	-33.389	"Delante"
9.0983	150.5672	-7.834	"Delante"
-2.4677	127.0756	1.4183	"Delante"
-16.0272	121.5325	7.032	"Delante"
-36.4073	139.5874	-2.7956	"Delante"
-9.4028	130.3641	-1.9259	"Delante"
-13.813	124.3881	-1.9896	"Delante"
-20.3647	128.8287	2.5521	"Delante"
-7.3876	124.7498	-10.7201	"Delante"
-4.1094	112.6832	-5.5108	"Delante"
-13.2833	104.2203	-7.4052	"Delante"
-14.5443	67.1373	-0.5417	"Delante"
-14.714	67.7807	0.817	"Delante"
-15.3911	77.6078	-0.1833	"Delante"
-16.1182	68.32	-3.122	"Delante"
-17.7697	63.5707	-1.8133	"Delante"
-13.9501	112.8827	-3.9391	"Delante"
11.9673	144.8042	-9.6492	"Delante"
-1.9457	122.0272	-10.9462	"Delante"
11.3264	133.2293	-11.3984	"Delante"
28.2008	120.374	-1.673	"Delante"
25.9882	105.5709	1.405	"Delante"
16.8764	181.4529	-2.5687	"Delante"
0.8608	309.1079	7.5109	"Delante"
-18.6617	292.3133	17.1412	"Delante"
-9.5453	223.3696	7.8837	"Delante"
-2.8871	132.4991	7.4236	"Delante"
-4.8754	70.1103	0.2457	"Delante"
-6.0361	63.224	1.3171	"Delante"
-6.4238	61.8324	1.9908	"Delante"
-7.8353	74.3042	0.5754	"Delante"
-7.0868	54.0016	0.5838	"Delante"
-5.6842	88.6974	-2.1736	"Delante"
-10.2919	271.5241	22.8307	"Delante"
-14.3013	339.6475	46.0975	"Delante"
-12.7518	283.9216	23.7776	"Delante"
42.3174	262.5835	6.3174	"Delante"
49.3648	260.3351	-22.0864	"Delante"
47.457	254.448	-10.8332	"Delante"
44.0212	259.1934	-15.4603	"Delante"
