"GiroX"	"GiroY"	"GiroZ"	"Class"
19.928	-146.0257	13.5071	"Atras"
9.818	-124.7326	17.7217	"Atras"
15.888	-134.6609	10.8585	"Atras"
17.1105	-117.9148	5.9958	"Atras"
12.4758	-99.8156	6.3923	"Atras"
7.6827	-74.9769	4.7447	"Atras"
10.8533	-112.7199	5.2778	"Atras"
16.5601	-200.9229	2.3059	"Atras"
3.4759	-175.0076	-9.6935	"Atras"
-28.6373	-168.6543	-10.5203	"Atras"
1.1023	-110.2643	2.1618	"Atras"
18.1264	-122.9587	1.4748	"Atras"
14.1142	-74.9472	0.2442	"Atras"
7.0527	-70.583	0.6326	"Atras"
12.1327	-70.2265	-0.5403	"Atras"
3.7066	-78.8711	-3.0488	"Atras"
0.113	-100.2258	11.394	"Atras"
-38.9956	-165.7961	17.3104	"Atras"
-26.7154	-120.765	0.2976	"Atras"
-5.6538	-124.0953	-2.3236	"Atras"
-5.5394	-101.3517	-7.8696	"Atras"
8.1479	-98.3439	11.1171	"Atras"
1.8249	-112.8459	13.0385	"Atras"
-2.9163	-120.0186	7.6843	"Atras"
-7.4955	-96.661	5.4307	"Atras"
-0.2632	-121.8295	5.5776	"Atras"
41.2937	-145.5545	5.8614	"Atras"
37.6831	-123.3751	9.0001	"Atras"
64.4431	-216.2784	13.8638	"Atras"
69.7087	-224.9588	28.6586	"Atras"
-13.6322	-123.9208	4.0707	"Atras"
4.5319	-124.4886	-0.4279	"Atras"
35.1562	-115.4986	-5.039	"Atras"
11.7444	-127.0557	1.5173	"Atras"
38.0826	-108.4537	3.299	"Atras"
17.7316	-121.7528	-4.9524	"Atras"
1.705	-126.3645	11.1886	"Atras"
3.7767	-102.8775	6.2392	"Atras"
18.1303	-119.8105	11.1471	"Atras"
18.3745	-113.3378	6.2144	"Atras"
12.5113	-91.1112	7.6251	"Atras"
15.4101	-68.2824	-0.1748	"Atras"
14.5664	-73.2757	1.2004	"Atras"
13.1229	-59.2044	2.0636	"Atras"
17.9292	-67.8259	3.2339	"Atras"
19.3156	-66.547	3.8561	"Atras"
14.021	-102.3539	1.8353	"Atras"
-11.867	-139.3055	-17.6285	"Atras"
-6.5149	-118.8093	-6.5398	"Atras"
-4.488	-125.9761	9.3449	"Atras"
-38.3502	-125.9107	-2.3168	"Atras"
-30.345	-114.1237	-0.9218	"Atras"
-6.1323	-191.0944	-12.3478	"Atras"
12.3818	-256.5788	-21.1364	"Atras"
23.1146	-260.7845	-35.4456	"Atras"
21.3803	-222.0732	-27.5081	"Atras"
11.6321	-154.9059	-12.6887	"Atras"
