"GiroX"	"GiroY"	"GiroZ"	"Class"
-277.1752	-43.0076	29.125	"Right"
-389.3362	-51.8119	46.0461	"Right"
-350.1268	-57.147	61.0642	"Right"
-384.7246	-63.2252	57.3411	"Right"
-320.8687	-46.3041	48.463	"Right"
-228.4878	-36.537	30.6107	"Right"
-218.4259	-33.2961	22.369	"Right"
-237.6454	-38.7805	17.7431	"Right"
-238.8322	-38.3207	15.1896	"Right"
-234.6868	-29.4682	8.6217	"Right"
-344.0338	-45.6614	11.5923	"Right"
-450.7647	-51.4225	37.5098	"Right"
-383.4893	-38.4627	17.6761	"Right"
-309.1992	-32.7136	6.4918	"Right"
-428.2728	-43.3102	14.3958	"Right"
-482.8302	-35.216	11.6343	"Right"
-502.3661	-53.3176	1.6663	"Right"
-479.0242	-51.6249	36.3796	"Right"
-384.5313	-57.5458	29.1266	"Right"
-332.53	-52.9191	38.3268	"Right"
-262.487	-44.2281	18.7808	"Right"
-239.4743	-38.1706	14.0833	"Right"
-190.4996	-36.1385	9.2876	"Right"
-140.7357	-18.4657	0.8674	"Right"
-166.9166	-20.4207	2.0399	"Right"
-168.6078	-25.3632	8.2167	"Right"
-210.6408	-36.6251	16.4591	"Right"
-231.8182	-29.3967	14.3794	"Right"
-203.4922	-26.1334	12.4696	"Right"
-209.902	-28.4228	13.1023	"Right"
-180.0668	-32.1918	12.4446	"Right"
-225.0821	-38.791	14.5322	"Right"
-249.1605	-40.3404	13.9747	"Right"
-461.9972	-56.4826	23.3168	"Right"
-292.6504	-42.9074	17.0399	"Right"
-255.2901	-38.6106	10.2747	"Right"
-240.0154	-31.0074	9.7012	"Right"
-174.0068	-17.2815	11.8094	"Right"
-195.635	-33.0856	22.6401	"Right"
-211.469	-33.2316	22.1509	"Right"
-195.2354	-39.6472	25.8106	"Right"
-195.7009	-32.8872	25.5298	"Right"
-217.2503	-31.7209	29.1592	"Right"
-243.6637	-43.4508	22.5271	"Right"
-235.7301	-36.5407	22.1609	"Right"
-265.5004	-51.3368	26.4249	"Right"
-262.0574	-51.65	29.6258	"Right"
-220.4504	-35.2451	15.6576	"Right"
-255.2651	-39.7653	20.1291	"Right"
-297.0971	-30.7086	21.7209	"Right"
-244.1638	-19.2967	24.1091	"Right"
-127.1823	-3.3516	0.6389	"Right"
-141.0561	-3.606	-5.5306	"Right"
-150.285	-4.413	-8.6184	"Right"
-172.4141	-5.1937	-0.9914	"Right"
-168.3448	-6.3141	-3.5614	"Right"
-73.4669	-2.3665	0.1682	"Right"
-46.3059	-0.4699	1.5641	"Right"
-49.6628	-1.7708	0.9582	"Right"
-78.42	-2.0857	-0.0077	"Right"
-175.7996	-3.3695	-7.5355	"Right"
-91.7825	-7.3238	2.1284	"Right"
-202.9821	0.2818	11.2109	"Right"
-418.2811	-16.1651	23.0251	"Right"
-555.6885	-14.5695	48.3994	"Right"
-499.5902	-26.1822	48.0531	"Right"
-333.8312	-14.8295	22.8508	"Right"
-276.6954	-14.8543	9.1803	"Right"
-269.8347	-14.4747	13.9321	"Right"
-254.5272	-18.2752	13.0429	"Right"
-136.1756	-5.8651	8.0058	"Right"
-114.5563	-1.9886	9.9615	"Right"
-134.0252	-3.6376	13.0292	"Right"
-153.5197	-6.035	14.9808	"Right"
-250.7182	-15.1912	26.9554	"Right"
-316.8238	-24.6901	44.9401	"Right"
-412.0403	-23.9759	51.6423	"Right"
-385.103	-18.3471	50.5932	"Right"
-333.8741	-13.4526	44.4559	"Right"
-345.238	-12.8101	55.6663	"Right"
-361.0265	-28.1735	52.5953	"Right"
-321.5861	-25.7015	32.5191	"Right"
-284.5146	-28.6458	32.6948	"Right"
-215.9024	-11.8133	15.359	"Right"
-186.2896	-9.2302	11.5876	"Right"
-222.5775	-5.938	13.6704	"Right"
-190.6197	-15.1112	12.059	"Right"
-212.5274	-17.4741	10.7124	"Right"
-238.2072	-12.3833	17.9239	"Right"
-201.4581	-8.5368	13.2314	"Right"
-175.414	-8.304	21.0702	"Right"
-198.6963	-14.4842	22.0921	"Right"
-379.8047	-20.5486	46.4903	"Right"
