"GiroX"	"GiroY"	"GiroZ"	"Class"
290.7695	40.9275	-39.9841	"Left"
368.5504	34.4279	-51.9053	"Left"
364.6164	58.068	-67.5839	"Left"
381.4235	49.8881	-71.8749	"Left"
336.5573	42.1806	-55.9068	"Left"
249.9009	31.5152	-29.0003	"Left"
189.5669	26.0059	-18.7927	"Left"
203.3791	29.447	-18.1682	"Left"
238.2274	27.1538	-18.8433	"Left"
211.6305	17.7646	-8.6677	"Left"
256.7515	27.9397	-11.7054	"Left"
474.219	49.5727	-52.1631	"Left"
390.6837	43.1822	-61.3558	"Left"
357.7953	27.2313	-54.9053	"Left"
360.881	32.5572	-46.3549	"Left"
503.4502	53.2966	-63.0813	"Left"
505.305	57.2561	-60.7282	"Left"
484.8951	46.5229	-71.0259	"Left"
376.0837	41.3938	-27.7647	"Left"
349.057	41.1293	-42.0315	"Left"
266.726	28.9066	-19.0994	"Left"
220.6883	28.528	-13.1558	"Left"
195.3915	26.6826	-11.5715	"Left"
165.0351	20.5385	-6.8045	"Left"
141.5339	11.7119	-2.8677	"Left"
118.8659	8.3615	-5.1817	"Left"
179.6296	12.4907	-7.5643	"Left"
151.6962	7.8723	-9.2359	"Left"
198.0407	21.0201	-16.1255	"Left"
196.6311	18.2116	-10.662	"Left"
193.2187	15.3386	-14.145	"Left"
175.4686	13.2188	-16.2104	"Left"
211.9009	20.3767	-11.799	"Left"
201.1304	15.8489	-16.7213	"Left"
337.5572	32.2068	-25.165	"Left"
421.7891	37.2827	-40.0232	"Left"
243.3025	19.9569	-16.194	"Left"
235.6642	18.8328	-10.258	"Left"
182.8393	17.1963	-9.7476	"Left"
174.4159	17.2749	-6.3353	"Left"
164.9113	26.5395	-17.6844	"Left"
205.4198	33.682	-25.0507	"Left"
198.8141	26.7721	-28.4154	"Left"
186.9752	27.3995	-23.0621	"Left"
185.1294	19.6277	-25.5539	"Left"
226.5136	26.2173	-25.1202	"Left"
211.8085	26.8033	-17.196	"Left"
288.8018	35.8065	-23.6588	"Left"
268.0339	40.1908	-28.3854	"Left"
241.6201	36.5987	-21.1697	"Left"
252.3836	34.2798	-24.2195	"Left"
263.5018	27.017	-30.647	"Left"
254.593	17.7077	-30.5003	"Left"
159.9724	8.544	-5.4366	"Left"
141.4648	3.9732	2.57	"Left"
165.8919	5.0559	6.5861	"Left"
170.5941	5.8105	2.7301	"Left"
205.9271	9.3216	4.9482	"Left"
75.0487	2.8766	-1.2813	"Left"
42.1734	0.7623	-0.4956	"Left"
35.0075	1.2436	-0.528	"Left"
61.9259	1.3332	-0.535	"Left"
193.6297	9.8535	6.0609	"Left"
116.0749	-3.0766	-4.1123	"Left"
148.7621	4.7536	-8.768	"Left"
368.2904	25.1581	-21.0834	"Left"
575.2708	59.4342	-34.7834	"Left"
518.7986	50.6959	-37.3914	"Left"
358.0763	7.2342	-25.3912	"Left"
269.4878	8.9754	-13.1165	"Left"
287.7652	6.6551	-12.5872	"Left"
249.216	7.6845	-9.4303	"Left"
152.3392	0.6801	-2.7797	"Left"
115.1902	3.3811	-9.7591	"Left"
102.4713	1.8673	-9.3739	"Left"
136.8985	-0.7621	-11.5188	"Left"
201.0751	2.1078	-16.6017	"Left"
310.7446	8.3444	-38.6059	"Left"
339.6648	14.5115	-53.7247	"Left"
435.3994	26.6808	-52.499	"Left"
344.339	10.3128	-47.3929	"Left"
332.8376	11.8193	-60.765	"Left"
352.5909	18.8076	-61.621	"Left"
327.6775	11.3431	-39.8631	"Left"
312.7116	15.3626	-30.8539	"Left"
233.8853	7.5024	-21.3976	"Left"
169.6403	2.4118	-10.1896	"Left"
188.397	4.5647	-14.2178	"Left"
218.0346	-1.2966	-13.9059	"Left"
189.6894	4.8816	-12.3911	"Left"
207.1597	5.2891	-10.8047	"Left"
200.7589	2.3149	-16.086	"Left"
144.6982	-4.4074	-8.7952	"Left"
161.3606	3.8927	-15.9103	"Left"
163.6504	1.3666	-18.1727	"Left"
242.8759	16.5622	-27.4525	"Left"
362.9849	21.4908	-60.9201	"Left"
457.5706	28.0653	-78.7915	"Left"
477.4105	23.0286	-102.4051	"Left"
484.9381	34.596	-119.3606	"Left"
466.7312	40.9196	-118.1353	"Left"
486.419	50.0678	-124.2717	"Left"
518.9329	51.9491	-122.1094	"Left"
407.3432	31.1435	-101.9806	"Left"
318.1043	23.2193	-36.9643	"Left"
347.3673	20.6511	-43.9185	"Left"
396.9528	39.7615	-18.9551	"Left"
363.8146	34.6594	-12.8002	"Left"
325.5904	25.1563	-14.7452	"Left"
167.2057	7.575	-0.9355	"Left"
192.5535	6.3344	-5.8796	"Left"
185.6709	7.6603	-8.5418	"Left"
187.4752	13.2251	-6.0934	"Left"
222.961	9.5399	-4.796	"Left"
257.1801	27.5351	-3.1442	"Left"
183.2356	15.0688	-4.794	"Left"
248.0577	24.5323	-2.2811	"Left"
330.8775	38.4756	-6.9426	"Left"
410.8699	27.5536	-8.6648	"Left"
453.3521	35.1568	-12.2882	"Left"
442.2208	29.6148	4.1979	"Left"
419.5305	29.9756	-1.2738	"Left"
397.0057	30.5912	-3.4993	"Left"
369.7229	46.2924	-14.8864	"Left"
365.6651	29.4336	3.0513	"Left"
389.6183	49.1506	3.0708	"Left"
350.1677	32.34	-14.0822	"Left"
356.3386	33.3188	-1.8	"Left"
354.1339	45.78	-5.8464	"Left"
336.207	28.7299	0.6369	"Left"
371.4264	26.2536	1.4231	"Left"
497.171	37.1666	3.304	"Left"
469.7771	21.4684	-16.3406	"Left"
571.7364	40.2038	-51.4316	"Left"
540.3813	26.5969	-40.1186	"Left"
298.0526	19.9705	-20.9482	"Left"
343.4484	18.747	-17.8617	"Left"
236.0801	39.6904	-10.5389	"Left"
255.0503	15.6615	-16.7875	"Left"
271.5961	23.037	-16.4902	"Left"
174.377	12.5805	-7.1662	"Left"
272.9415	21.2632	-7.1951	"Left"
456.8142	36.8996	-12.8696	"Left"
347.2902	23.3476	-17.7404	"Left"
405.1708	22.0996	-21.2882	"Left"
370.2078	22.7827	-5.011	"Left"
306.212	7.2774	-4.9064	"Left"
361.2999	12.7842	-6.9701	"Left"
244.5527	13.0837	-8.1112	"Left"
166.3335	4.9527	-5.3639	"Left"
167.804	4.0942	-7.4532	"Left"
199.6142	9.6345	-4.8081	"Left"
