"GiroX"	"GiroY"	"GiroZ"
47.24	16.93	-15.32
118.31	27.52	-21.67
187.05	38.47	-28.52
250.95	49.86	-35.72
307.88	61.12	-42.97
356.1	71.3	-49.7
395.58	79.77	-55.43
427.11	86.27	-59.82
452.33	90.61	-62.79
472.28	92.7	-64.58
486.79	92.67	-65.31
495.1	90.61	-64.95
496.19	86.65	-63.28
488.9	80.97	-60.23
473.01	73.83	-56.02
450.35	65.43	-50.91
422.96	56	-44.91
391.82	45.79	-38.09
357.2	35.28	-30.66
318.76	25.07	-22.82
276.04	15.39	-14.9
229.81	6.05	-7.49
181.14	-3.02	-1.02
130.82	-11.62	4.5
78.4	-19.55	9.36
22.77	-26.74	13.76
37.59	33.26	-21.78
82.22	39.6	-27.66
122.78	45.13	-33.16
159.84	50.16	-38.19
194.33	54.85	-42.62
226.53	59.18	-46.48
256.69	63.1	-49.93
284.96	66.65	-53.17
311.14	69.77	-56.36
334.98	72.31	-59.67
355.3	74.23	-62.88
370.09	75.69	-65.28
377.68	76.83	-66.13
377.5	77.32	-65.04
369.96	76.59	-62
357.38	74.35	-57.45
342.48	70.57	-51.86
326.42	65.53	-45.7
309.28	59.78	-39.27
291.05	53.8	-32.84
271.01	47.7	-26.74
248	41.44	-21.28
220.81	35.1	-16.33
188.77	28.63	-11.52
152.79	21.77	-6.46
112.68	14.13	-0.78
68.3	5.58	5.54
21.14	-3.49	12.16
15.12	1.29	-11.68
66.71	7.69	-19.29
120.44	14.32	-27.73
174.26	20.85	-36.55
225.71	26.9	-45.03
272.91	32.19	-52.5
315.3	36.62	-58.78
352.87	40.24	-64.02
385.86	43.2	-68.48
413.72	45.52	-72.12
435.7	47.35	-74.83
451.25	48.65	-76.44
459.98	49.3	-76.6
461.77	49.14	-74.96
456.95	48.09	-71.41
446.22	46.22	-66.06
430.37	43.67	-59.55
409.94	40.63	-52.7
385.37	37.35	-46.2
356.99	33.98	-40.24
324.95	30.38	-34.68
289.88	26.32	-29.26
252.21	21.72	-23.68
212.63	16.73	-17.83
171.64	11.4	-11.79
128.7	5.8	-5.61
83.23	0.21	0.59
34.71	-5.35	6.66
12.34	-0.51	-1.55
60.91	6.83	-8.71
108.26	14.08	-16.06
153.76	20.78	-23.35
198.44	26.6	-30.47
241.8	31.42	-37.16
282.5	35.4	-43.25
320.21	38.84	-48.56
355.28	41.62	-53.09
388.28	43.55	-56.97
419.18	44.59	-60.22
446.29	44.87	-62.66
467.09	44.51	-63.99
480.59	43.62	-64.27
486.72	42.3	-63.74
485.94	40.67	-62.57
479.35	38.98	-60.68
468.03	37.27	-57.97
452.01	35.41	-54.39
431.57	33.32	-49.94
406.73	30.87	-44.72
376.44	27.84	-38.9
339.56	24.25	-32.67
296	20.2	-26.3
246.31	15.74	-20.12
191.05	10.79	-14.24
131.28	5.31	-8.6
67.98	-0.63	-2.78
2.01	-6.86	3.7
12.16	-7.03	-0.71
70.14	0.22	-9.76
129.8	8.09	-19.65
188.21	16.12	-29.91
242.98	23.88	-39.9
293.03	30.97	-49.08
337.9	37	-57.16
377.46	41.77	-64.02
411.52	45.26	-69.3
439.83	47.51	-72.73
462.05	48.46	-74.47
477.5	47.98	-74.76
485.57	46.04	-73.89
486.59	42.72	-72.22
481.5	38.24	-69.81
470.47	32.91	-66.5
452.84	27.19	-61.9
427.74	21.56	-55.6
394.03	16.16	-47.59
351.57	10.92	-38.31
300.52	5.51	-28.1
241.37	-0.52	-17.57
177.35	-7.21	-7.85
110.95	-14.48	0.41
42.28	-21.96	7.32
3.78	-1.36	-5.65
96.64	9.65	-16.75
190.3	21.02	-28.36
282.9	32.37	-40.22
371.83	43.29	-52.41
453.94	53.16	-64.7
526.21	61.24	-76.58
585.84	66.88	-86.96
630.46	69.49	-94.66
657.66	68.62	-98.54
663.39	64.34	-97.6
642.41	56.83	-91.25
592.69	46.62	-79.96
517.06	34.45	-65.49
420.5	20.98	-49.66
309.04	6.37	-34.06
187.55	-9.56	-19.7
58.08	-26.7	-6.54
28.51	25.48	-21.99
161.16	41.23	-34.32
288.35	54.81	-47.45
403.8	65.04	-60.89
501.77	71.47	-73.97
577.25	74.27	-85.84
627.8	74.13	-95.51
653.45	71.89	-101.68
653.67	67.69	-102.72
626.53	61.15	-97.45
571.22	52.14	-85.98
489.78	40.92	-69.98
386.48	27.58	-51.92
267.44	11.9	-34.1
137.3	-6.18	-17.49
134.14	13.94	-22.86
278.33	35.44	-41.05
412.83	54.67	-59.79
529.01	69.84	-77.91
620.85	79.64	-93.73
683.34	83.5	-105.32
709.82	81.62	-110.48
696.58	74.85	-107.48
644.84	64.62	-96.22
561.73	52.65	-79.17
459.21	39.9	-60.1
344.81	26.22	-41.83
219.83	11.37	-25.41
85.86	-4.31	-10.54
115.26	19.81	-20.14
244.53	33.03	-33.43
367.15	44.45	-48.22
477.3	53.36	-64.15
566.99	59.32	-79.19
624.7	62.37	-89.97
637.97	62.14	-93.43
602.44	58.46	-88.25
526.53	51.81	-74.92
425.25	42.59	-56.01
312.02	30.83	-35.06
192.48	16.6	-14.61
67.58	0.23	4.14
51.17	7.17	-19.4
178.81	26.32	-38.37
301.34	44.6	-57.89
411.25	60.99	-77.34
